"","GDAY_DS","T_ID","BA"
"1",20200505,"HH",0.35
"2",20200506,"HH",0.29
"3",20200507,"HH",0.32
"4",20200508,"HH",0.3
"5",20200509,"HH",0.32
"6",20200510,"HH",0.33
"7",20200512,"HH",0.32
"8",20200513,"HH",0.32
"9",20200514,"HH",0.32
"10",20200515,"HH",0.33
"11",20200516,"HH",0.33
"12",20200517,"HH",0.32
"13",20200519,"HH",0.32
"14",20200520,"HH",0.32
"15",20200521,"HH",0.32
"16",20200522,"HH",0.32
"17",20200523,"HH",0.32
"18",20200524,"HH",0.32
"19",20200526,"HH",0.31
"20",20200527,"HH",0.32
"21",20200528,"HH",0.31
"22",20200529,"HH",0.32
"23",20200530,"HH",0.3
"24",20200531,"HH",0.29
"25",20200602,"HH",0.29
"26",20200603,"HH",0.29
"27",20200604,"HH",0.28
"28",20200605,"HH",0.27
"29",20200606,"HH",0.27
"30",20200607,"HH",0.27
"31",20200609,"HH",0.27
"32",20200610,"HH",0.27
"33",20200611,"HH",0.26
"34",20200612,"HH",0.25
"35",20200613,"HH",0.25
"36",20200614,"HH",0.25
"37",20200616,"HH",0.27
"38",20200617,"HH",0.26
"39",20200618,"HH",0.26
"40",20200619,"HH",0.25
"41",20200620,"HH",0.27
"42",20200621,"HH",0.27
"43",20200623,"HH",0.28
"44",20200624,"HH",0.28
"45",20200625,"HH",0.29
"46",20200626,"HH",0.3
"47",20200627,"HH",0.3
"48",20200628,"HH",0.3
"49",20200701,"HH",0.31
"50",20200702,"HH",0.31
"51",20200703,"HH",0.31
"52",20200704,"HH",0.33
"53",20200705,"HH",0.33
"54",20200707,"HH",0.33
"55",20200708,"HH",0.32
"56",20200709,"HH",0.32
"57",20200710,"HH",0.32
"58",20200711,"HH",0.32
"59",20200713,"HH",0.32
"60",20200714,"HH",0.33
"61",20200715,"HH",0.32
"62",20200716,"HH",0.31
"63",20200717,"HH",0.3
"64",20200718,"HH",0.29
"65",20200719,"HH",0.3
