"","GDAY_DS","T_ID","BA"
"1",20200505,"HT",0.22
"2",20200506,"HT",0.28
"3",20200507,"HT",0.36
"4",20200508,"HT",0.32
"5",20200509,"HT",0.33
"6",20200510,"HT",0.36
"7",20200512,"HT",0.33
"8",20200513,"HT",0.33
"9",20200514,"HT",0.32
"10",20200515,"HT",0.31
"11",20200516,"HT",0.34
"12",20200517,"HT",0.34
"13",20200519,"HT",0.35
"14",20200520,"HT",0.36
"15",20200521,"HT",0.36
"16",20200522,"HT",0.35
"17",20200523,"HT",0.35
"18",20200524,"HT",0.35
"19",20200526,"HT",0.36
"20",20200527,"HT",0.35
"21",20200528,"HT",0.34
"22",20200529,"HT",0.34
"23",20200530,"HT",0.35
"24",20200531,"HT",0.35
"25",20200602,"HT",0.36
"26",20200603,"HT",0.37
"27",20200604,"HT",0.37
"28",20200605,"HT",0.37
"29",20200606,"HT",0.35
"30",20200607,"HT",0.36
"31",20200609,"HT",0.34
"32",20200610,"HT",0.34
"33",20200611,"HT",0.35
"34",20200612,"HT",0.36
"35",20200613,"HT",0.35
"36",20200614,"HT",0.35
"37",20200616,"HT",0.34
"38",20200617,"HT",0.35
"39",20200619,"HT",0.36
"40",20200620,"HT",0.37
"41",20200621,"HT",0.36
"42",20200623,"HT",0.36
"43",20200626,"HT",0.36
"44",20200627,"HT",0.34
"45",20200628,"HT",0.32
"46",20200701,"HT",0.33
"47",20200702,"HT",0.34
"48",20200703,"HT",0.34
"49",20200704,"HT",0.34
"50",20200705,"HT",0.33
"51",20200707,"HT",0.32
"52",20200708,"HT",0.32
"53",20200709,"HT",0.33
"54",20200710,"HT",0.34
"55",20200711,"HT",0.35
"56",20200713,"HT",0.36
"57",20200714,"HT",0.35
"58",20200715,"HT",0.34
"59",20200716,"HT",0.35
"60",20200717,"HT",0.35
"61",20200718,"HT",0.34
"62",20200719,"HT",0.35
