"","GDAY_DS","T_ID","BA"
"1",20200505,"KT",0.23
"2",20200506,"KT",0.27
"3",20200507,"KT",0.27
"4",20200508,"KT",0.35
"5",20200510,"KT",0.37
"6",20200512,"KT",0.37
"7",20200513,"KT",0.37
"8",20200514,"KT",0.35
"9",20200515,"KT",0.38
"10",20200516,"KT",0.4
"11",20200517,"KT",0.4
"12",20200519,"KT",0.42
"13",20200520,"KT",0.43
"14",20200521,"KT",0.43
"15",20200522,"KT",0.42
"16",20200523,"KT",0.42
"17",20200524,"KT",0.41
"18",20200526,"KT",0.4
"19",20200527,"KT",0.41
"20",20200528,"KT",0.41
"21",20200529,"KT",0.41
"22",20200530,"KT",0.39
"23",20200531,"KT",0.39
"24",20200602,"KT",0.4
"25",20200603,"KT",0.41
"26",20200604,"KT",0.42
"27",20200605,"KT",0.4
"28",20200606,"KT",0.38
"29",20200607,"KT",0.38
"30",20200609,"KT",0.36
"31",20200610,"KT",0.33
"32",20200611,"KT",0.34
"33",20200613,"KT",0.34
"34",20200613,"KT",0.34
"35",20200614,"KT",0.34
"36",20200616,"KT",0.35
"37",20200617,"KT",0.35
"38",20200618,"KT",0.35
"39",20200619,"KT",0.37
"40",20200620,"KT",0.36
"41",20200621,"KT",0.35
"42",20200623,"KT",0.35
"43",20200625,"KT",0.33
"44",20200625,"KT",0.33
"45",20200626,"KT",0.33
"46",20200627,"KT",0.33
"47",20200628,"KT",0.34
"48",20200630,"KT",0.34
"49",20200701,"KT",0.36
"50",20200702,"KT",0.36
"51",20200703,"KT",0.36
"52",20200704,"KT",0.36
"53",20200705,"KT",0.37
"54",20200707,"KT",0.37
"55",20200708,"KT",0.37
"56",20200709,"KT",0.36
"57",20200710,"KT",0.36
"58",20200711,"KT",0.38
"59",20200714,"KT",0.39
"60",20200715,"KT",0.38
"61",20200716,"KT",0.39
"62",20200717,"KT",0.38
"63",20200718,"KT",0.37
"64",20200719,"KT",0.37
