"","GDAY_DS","T_ID","BA"
"1",20200505,"LG",0.6
"2",20200506,"LG",0.39
"3",20200507,"LG",0.36
"4",20200508,"LG",0.36
"5",20200510,"LG",0.4
"6",20200512,"LG",0.4
"7",20200513,"LG",0.42
"8",20200514,"LG",0.42
"9",20200516,"LG",0.4
"10",20200516,"LG",0.4
"11",20200517,"LG",0.39
"12",20200519,"LG",0.39
"13",20200520,"LG",0.38
"14",20200521,"LG",0.37
"15",20200522,"LG",0.37
"16",20200523,"LG",0.36
"17",20200524,"LG",0.36
"18",20200526,"LG",0.36
"19",20200527,"LG",0.36
"20",20200528,"LG",0.38
"21",20200529,"LG",0.38
"22",20200530,"LG",0.38
"23",20200531,"LG",0.38
"24",20200602,"LG",0.37
"25",20200603,"LG",0.36
"26",20200604,"LG",0.37
"27",20200605,"LG",0.37
"28",20200606,"LG",0.36
"29",20200607,"LG",0.37
"30",20200609,"LG",0.36
"31",20200611,"LG",0.37
"32",20200611,"LG",0.37
"33",20200612,"LG",0.36
"34",20200613,"LG",0.36
"35",20200614,"LG",0.37
"36",20200616,"LG",0.38
"37",20200617,"LG",0.37
"38",20200618,"LG",0.37
"39",20200619,"LG",0.37
"40",20200620,"LG",0.37
"41",20200621,"LG",0.35
"42",20200623,"LG",0.36
"43",20200625,"LG",0.35
"44",20200625,"LG",0.34
"45",20200626,"LG",0.33
"46",20200627,"LG",0.34
"47",20200628,"LG",0.34
"48",20200630,"LG",0.34
"49",20200701,"LG",0.34
"50",20200702,"LG",0.34
"51",20200703,"LG",0.35
"52",20200704,"LG",0.35
"53",20200705,"LG",0.33
"54",20200707,"LG",0.33
"55",20200708,"LG",0.33
"56",20200709,"LG",0.31
"57",20200710,"LG",0.3
"58",20200711,"LG",0.31
"59",20200714,"LG",0.3
"60",20200715,"LG",0.3
"61",20200716,"LG",0.31
"62",20200717,"LG",0.32
"63",20200718,"LG",0.33
"64",20200719,"LG",0.32
