"","GDAY_DS","T_ID","BA"
"1",20200505,"LT",0.31
"2",20200506,"LT",0.36
"3",20200507,"LT",0.38
"4",20200508,"LT",0.42
"5",20200510,"LT",0.39
"6",20200512,"LT",0.4
"7",20200513,"LT",0.41
"8",20200514,"LT",0.41
"9",20200515,"LT",0.39
"10",20200516,"LT",0.39
"11",20200517,"LT",0.38
"12",20200519,"LT",0.37
"13",20200520,"LT",0.35
"14",20200521,"LT",0.34
"15",20200522,"LT",0.35
"16",20200523,"LT",0.35
"17",20200524,"LT",0.35
"18",20200526,"LT",0.34
"19",20200527,"LT",0.34
"20",20200528,"LT",0.32
"21",20200529,"LT",0.32
"22",20200530,"LT",0.31
"23",20200531,"LT",0.31
"24",20200602,"LT",0.3
"25",20200603,"LT",0.28
"26",20200604,"LT",0.28
"27",20200605,"LT",0.28
"28",20200606,"LT",0.27
"29",20200607,"LT",0.28
"30",20200609,"LT",0.3
"31",20200610,"LT",0.32
"32",20200611,"LT",0.33
"33",20200612,"LT",0.32
"34",20200613,"LT",0.31
"35",20200614,"LT",0.32
"36",20200616,"LT",0.32
"37",20200617,"LT",0.33
"38",20200618,"LT",0.34
"39",20200619,"LT",0.35
"40",20200620,"LT",0.36
"41",20200621,"LT",0.36
"42",20200623,"LT",0.36
"43",20200626,"LT",0.37
"44",20200627,"LT",0.36
"45",20200628,"LT",0.36
"46",20200630,"LT",0.38
"47",20200701,"LT",0.37
"48",20200702,"LT",0.36
"49",20200703,"LT",0.35
"50",20200704,"LT",0.36
"51",20200705,"LT",0.36
"52",20200707,"LT",0.37
"53",20200708,"LT",0.36
"54",20200709,"LT",0.36
"55",20200710,"LT",0.36
"56",20200711,"LT",0.35
"57",20200714,"LT",0.35
"58",20200715,"LT",0.35
"59",20200716,"LT",0.36
"60",20200717,"LT",0.37
"61",20200718,"LT",0.36
"62",20200719,"LT",0.37
