"","GDAY_DS","T_ID","BA"
"1",20200505,"NC",0.36
"2",20200506,"NC",0.35
"3",20200507,"NC",0.35
"4",20200508,"NC",0.39
"5",20200510,"NC",0.39
"6",20200512,"NC",0.39
"7",20200513,"NC",0.39
"8",20200514,"NC",0.39
"9",20200515,"NC",0.38
"10",20200516,"NC",0.37
"11",20200517,"NC",0.38
"12",20200519,"NC",0.38
"13",20200520,"NC",0.36
"14",20200521,"NC",0.38
"15",20200522,"NC",0.37
"16",20200523,"NC",0.37
"17",20200524,"NC",0.37
"18",20200526,"NC",0.38
"19",20200527,"NC",0.38
"20",20200528,"NC",0.39
"21",20200529,"NC",0.39
"22",20200530,"NC",0.37
"23",20200531,"NC",0.38
"24",20200602,"NC",0.37
"25",20200603,"NC",0.38
"26",20200604,"NC",0.39
"27",20200605,"NC",0.4
"28",20200606,"NC",0.42
"29",20200607,"NC",0.42
"30",20200609,"NC",0.42
"31",20200610,"NC",0.43
"32",20200611,"NC",0.43
"33",20200612,"NC",0.43
"34",20200613,"NC",0.43
"35",20200614,"NC",0.44
"36",20200616,"NC",0.43
"37",20200617,"NC",0.42
"38",20200619,"NC",0.41
"39",20200620,"NC",0.41
"40",20200621,"NC",0.42
"41",20200623,"NC",0.41
"42",20200625,"NC",0.4
"43",20200625,"NC",0.39
"44",20200626,"NC",0.39
"45",20200627,"NC",0.37
"46",20200628,"NC",0.37
"47",20200630,"NC",0.36
"48",20200701,"NC",0.35
"49",20200702,"NC",0.36
"50",20200703,"NC",0.35
"51",20200704,"NC",0.37
"52",20200705,"NC",0.37
"53",20200707,"NC",0.36
"54",20200708,"NC",0.35
"55",20200709,"NC",0.36
"56",20200710,"NC",0.37
"57",20200711,"NC",0.37
"58",20200714,"NC",0.35
"59",20200715,"NC",0.36
"60",20200716,"NC",0.37
"61",20200717,"NC",0.36
"62",20200718,"NC",0.36
"63",20200719,"NC",0.37
