"","GDAY_DS","T_ID","BA"
"1",20200505,"OB",0.27
"2",20200506,"OB",0.33
"3",20200507,"OB",0.36
"4",20200508,"OB",0.35
"5",20200510,"OB",0.37
"6",20200512,"OB",0.42
"7",20200513,"OB",0.41
"8",20200514,"OB",0.43
"9",20200515,"OB",0.44
"10",20200516,"OB",0.43
"11",20200517,"OB",0.44
"12",20200519,"OB",0.43
"13",20200520,"OB",0.41
"14",20200521,"OB",0.4
"15",20200522,"OB",0.41
"16",20200523,"OB",0.41
"17",20200524,"OB",0.41
"18",20200526,"OB",0.4
"19",20200527,"OB",0.4
"20",20200528,"OB",0.39
"21",20200529,"OB",0.38
"22",20200530,"OB",0.38
"23",20200531,"OB",0.37
"24",20200602,"OB",0.36
"25",20200603,"OB",0.36
"26",20200604,"OB",0.35
"27",20200605,"OB",0.34
"28",20200606,"OB",0.34
"29",20200607,"OB",0.33
"30",20200609,"OB",0.34
"31",20200610,"OB",0.36
"32",20200611,"OB",0.36
"33",20200612,"OB",0.36
"34",20200613,"OB",0.35
"35",20200614,"OB",0.35
"36",20200616,"OB",0.35
"37",20200617,"OB",0.35
"38",20200618,"OB",0.36
"39",20200619,"OB",0.38
"40",20200620,"OB",0.39
"41",20200621,"OB",0.39
"42",20200623,"OB",0.38
"43",20200625,"OB",0.4
"44",20200625,"OB",0.38
"45",20200626,"OB",0.38
"46",20200627,"OB",0.38
"47",20200628,"OB",0.37
"48",20200630,"OB",0.36
"49",20200701,"OB",0.37
"50",20200702,"OB",0.37
"51",20200703,"OB",0.36
"52",20200704,"OB",0.35
"53",20200705,"OB",0.36
"54",20200707,"OB",0.38
"55",20200708,"OB",0.38
"56",20200709,"OB",0.38
"57",20200710,"OB",0.38
"58",20200711,"OB",0.37
"59",20200714,"OB",0.37
"60",20200715,"OB",0.37
"61",20200716,"OB",0.37
"62",20200717,"OB",0.37
"63",20200718,"OB",0.38
"64",20200719,"OB",0.38
