"","GDAY_DS","T_ID","BA"
"1",20200505,"SK",0.07
"2",20200506,"SK",0.25
"3",20200507,"SK",0.33
"4",20200508,"SK",0.36
"5",20200510,"SK",0.32
"6",20200512,"SK",0.33
"7",20200513,"SK",0.33
"8",20200514,"SK",0.31
"9",20200515,"SK",0.29
"10",20200516,"SK",0.29
"11",20200517,"SK",0.29
"12",20200519,"SK",0.29
"13",20200520,"SK",0.29
"14",20200521,"SK",0.29
"15",20200522,"SK",0.29
"16",20200523,"SK",0.29
"17",20200524,"SK",0.29
"18",20200526,"SK",0.28
"19",20200527,"SK",0.3
"20",20200528,"SK",0.29
"21",20200529,"SK",0.29
"22",20200530,"SK",0.28
"23",20200531,"SK",0.3
"24",20200602,"SK",0.3
"25",20200603,"SK",0.31
"26",20200604,"SK",0.31
"27",20200605,"SK",0.32
"28",20200606,"SK",0.32
"29",20200607,"SK",0.31
"30",20200609,"SK",0.32
"31",20200611,"SK",0.32
"32",20200611,"SK",0.31
"33",20200612,"SK",0.31
"34",20200613,"SK",0.3
"35",20200614,"SK",0.3
"36",20200616,"SK",0.31
"37",20200617,"SK",0.32
"38",20200618,"SK",0.31
"39",20200619,"SK",0.3
"40",20200620,"SK",0.3
"41",20200621,"SK",0.28
"42",20200623,"SK",0.28
"43",20200625,"SK",0.28
"44",20200625,"SK",0.29
"45",20200626,"SK",0.29
"46",20200627,"SK",0.28
"47",20200628,"SK",0.28
"48",20200630,"SK",0.27
"49",20200701,"SK",0.27
"50",20200702,"SK",0.27
"51",20200703,"SK",0.28
"52",20200704,"SK",0.29
"53",20200705,"SK",0.3
"54",20200707,"SK",0.3
"55",20200708,"SK",0.3
"56",20200709,"SK",0.29
"57",20200710,"SK",0.3
"58",20200711,"SK",0.3
"59",20200713,"SK",0.3
"60",20200714,"SK",0.3
"61",20200715,"SK",0.29
"62",20200716,"SK",0.28
"63",20200717,"SK",0.29
"64",20200718,"SK",0.29
"65",20200719,"SK",0.3
