"","GDAY_DS","T_ID","BA"
"1",20200505,"SS",0.1
"2",20200506,"SS",0.19
"3",20200507,"SS",0.19
"4",20200508,"SS",0.23
"5",20200509,"SS",0.27
"6",20200510,"SS",0.28
"7",20200512,"SS",0.27
"8",20200513,"SS",0.26
"9",20200514,"SS",0.3
"10",20200515,"SS",0.3
"11",20200516,"SS",0.3
"12",20200517,"SS",0.29
"13",20200519,"SS",0.3
"14",20200520,"SS",0.3
"15",20200521,"SS",0.28
"16",20200522,"SS",0.29
"17",20200523,"SS",0.3
"18",20200524,"SS",0.32
"19",20200526,"SS",0.32
"20",20200527,"SS",0.34
"21",20200528,"SS",0.34
"22",20200529,"SS",0.34
"23",20200530,"SS",0.34
"24",20200531,"SS",0.34
"25",20200602,"SS",0.35
"26",20200603,"SS",0.36
"27",20200604,"SS",0.34
"28",20200605,"SS",0.34
"29",20200606,"SS",0.34
"30",20200607,"SS",0.34
"31",20200609,"SS",0.34
"32",20200610,"SS",0.34
"33",20200611,"SS",0.36
"34",20200613,"SS",0.35
"35",20200613,"SS",0.34
"36",20200614,"SS",0.34
"37",20200616,"SS",0.35
"38",20200617,"SS",0.34
"39",20200618,"SS",0.34
"40",20200619,"SS",0.34
"41",20200620,"SS",0.33
"42",20200621,"SS",0.34
"43",20200623,"SS",0.34
"44",20200624,"SS",0.34
"45",20200625,"SS",0.34
"46",20200626,"SS",0.35
"47",20200627,"SS",0.36
"48",20200628,"SS",0.35
"49",20200630,"SS",0.35
"50",20200701,"SS",0.35
"51",20200702,"SS",0.36
"52",20200703,"SS",0.36
"53",20200704,"SS",0.37
"54",20200705,"SS",0.36
"55",20200707,"SS",0.37
"56",20200708,"SS",0.37
"57",20200709,"SS",0.38
"58",20200710,"SS",0.38
"59",20200711,"SS",0.38
"60",20200714,"SS",0.38
"61",20200715,"SS",0.37
"62",20200716,"SS",0.37
"63",20200717,"SS",0.39
"64",20200718,"SS",0.39
"65",20200719,"SS",0.38
