"","GDAY_DS","T_ID","BA"
"1",20200505,"WO",0.45
"2",20200506,"WO",0.37
"3",20200507,"WO",0.38
"4",20200508,"WO",0.38
"5",20200509,"WO",0.34
"6",20200510,"WO",0.34
"7",20200512,"WO",0.34
"8",20200513,"WO",0.31
"9",20200514,"WO",0.31
"10",20200516,"WO",0.3
"11",20200516,"WO",0.3
"12",20200517,"WO",0.33
"13",20200519,"WO",0.34
"14",20200520,"WO",0.33
"15",20200521,"WO",0.34
"16",20200522,"WO",0.34
"17",20200523,"WO",0.35
"18",20200524,"WO",0.34
"19",20200526,"WO",0.32
"20",20200527,"WO",0.33
"21",20200528,"WO",0.33
"22",20200529,"WO",0.32
"23",20200530,"WO",0.34
"24",20200531,"WO",0.34
"25",20200602,"WO",0.35
"26",20200603,"WO",0.37
"27",20200604,"WO",0.37
"28",20200605,"WO",0.38
"29",20200606,"WO",0.38
"30",20200607,"WO",0.36
"31",20200609,"WO",0.36
"32",20200610,"WO",0.36
"33",20200611,"WO",0.35
"34",20200612,"WO",0.34
"35",20200613,"WO",0.34
"36",20200614,"WO",0.35
"37",20200616,"WO",0.36
"38",20200617,"WO",0.36
"39",20200618,"WO",0.35
"40",20200619,"WO",0.35
"41",20200620,"WO",0.34
"42",20200621,"WO",0.34
"43",20200623,"WO",0.34
"44",20200625,"WO",0.35
"45",20200625,"WO",0.34
"46",20200626,"WO",0.34
"47",20200627,"WO",0.34
"48",20200628,"WO",0.33
"49",20200630,"WO",0.34
"50",20200701,"WO",0.35
"51",20200702,"WO",0.37
"52",20200703,"WO",0.37
"53",20200704,"WO",0.36
"54",20200705,"WO",0.37
"55",20200707,"WO",0.36
"56",20200708,"WO",0.36
"57",20200709,"WO",0.37
"58",20200710,"WO",0.38
"59",20200711,"WO",0.37
"60",20200713,"WO",0.37
"61",20200714,"WO",0.36
"62",20200715,"WO",0.37
"63",20200716,"WO",0.36
"64",20200717,"WO",0.36
"65",20200718,"WO",0.37
"66",20200719,"WO",0.37
