"","GDAY_DS","BA"
"1",2020-05-05,0.267
"2",2020-05-06,0.333
"3",2020-05-07,0.364
"4",2020-05-08,0.401
"5",2020-05-10,0.4
"6",2020-05-12,0.397
"7",2020-05-13,0.387
"8",2020-05-14,0.358
"9",2020-05-16,0.342
"10",2020-05-16,0.339
"11",2020-05-17,0.363
"12",2020-05-19,0.369
"13",2020-05-20,0.358
"14",2020-05-21,0.338
"15",2020-05-22,0.334
"16",2020-05-23,0.336
"17",2020-05-24,0.335
"18",2020-05-26,0.323
"19",2020-05-27,0.331
"20",2020-05-28,0.319
"21",2020-05-29,0.312
"22",2020-05-30,0.309
"23",2020-05-31,0.31
"24",2020-06-02,0.304
"25",2020-06-03,0.313
"26",2020-06-04,0.315
"27",2020-06-05,0.322
"28",2020-06-06,0.33
"29",2020-06-07,0.31
"30",2020-06-09,0.308
"31",2020-06-11,0.307
"32",2020-06-11,0.321
"33",2020-06-12,0.319
"34",2020-06-13,0.314
"35",2020-06-14,0.321
"36",2020-06-16,0.334
"37",2020-06-17,0.324
"38",2020-06-18,0.33
"39",2020-06-19,0.343
"40",2020-06-20,0.345
"41",2020-06-21,0.339
"42",2020-06-23,0.352
"43",2020-06-25,0.345
"44",2020-06-25,0.351
"45",2020-06-26,0.35
"46",2020-06-27,0.331
"47",2020-06-28,0.327
"48",2020-06-30,0.322
"49",2020-07-01,0.343
"50",2020-07-02,0.351
"51",2020-07-03,0.363
"52",2020-07-04,0.369
"53",2020-07-05,0.369
"54",2020-07-07,0.377
"55",2020-07-08,0.387
"56",2020-07-09,0.394
"57",2020-07-10,0.394
"58",2020-07-11,0.381
"59",2020-07-14,0.385
"60",2020-07-15,0.38
"61",2020-07-16,0.388
"62",2020-07-17,0.379
"63",2020-07-18,0.376
"64",2020-07-19,0.386
"65",2020-07-21,0.395
"66",2020-07-24,0.399
"67",2020-07-25,0.382
"68",2020-07-26,0.368
"69",2020-07-28,0.368
"70",2020-07-29,0.368
"71",2020-07-30,0.361
"72",2020-07-31,0.341
"73",2020-08-01,0.341
"74",2020-08-04,0.338
"75",2020-08-05,0.327
"76",2020-08-06,0.32
"77",2020-08-07,0.314
"78",2020-08-08,0.305
"79",2020-08-09,0.285
"80",2020-08-11,0.291
"81",2020-08-12,0.295
"82",2020-08-13,0.294
"83",2020-08-14,0.298
"84",2020-08-15,0.298
"85",2020-08-16,0.294
"86",2020-08-18,0.301
"87",2020-08-19,0.294
"88",2020-08-20,0.288
"89",2020-08-21,0.285
"90",2020-08-23,0.288
"91",2020-08-24,0.276
"92",2020-08-25,0.266
"93",2020-08-26,0.264
"94",2020-08-27,0.267
"95",2020-08-28,0.268
"96",2020-08-29,0.27
"97",2020-08-30,0.277
"98",2020-09-01,0.279
"99",2020-09-03,0.275
"100",2020-09-04,0.276
"101",2020-09-06,0.271
"102",2020-09-07,0.272
"103",2020-09-08,0.278
"104",2020-09-10,0.275
"105",2020-09-11,0.269
"106",2020-09-12,0.259
"107",2020-09-13,0.251
"108",2020-09-15,0.251
"109",2020-09-16,0.263
"110",2020-09-17,0.265
"111",2020-09-18,0.261
"112",2020-09-19,0.274
"113",2020-09-20,0.272
