"","GDAY_DS","BA"
"1",2020-05-05,0.233
"2",2020-05-06,0.274
"3",2020-05-07,0.273
"4",2020-05-08,0.324
"5",2020-05-10,0.287
"6",2020-05-12,0.349
"7",2020-05-13,0.352
"8",2020-05-14,0.372
"9",2020-05-15,0.371
"10",2020-05-16,0.368
"11",2020-05-17,0.35
"12",2020-05-19,0.363
"13",2020-05-20,0.368
"14",2020-05-21,0.364
"15",2020-05-22,0.361
"16",2020-05-23,0.371
"17",2020-05-24,0.358
"18",2020-05-26,0.347
"19",2020-05-27,0.362
"20",2020-05-28,0.363
"21",2020-05-29,0.361
"22",2020-05-30,0.355
"23",2020-05-31,0.363
"24",2020-06-02,0.35
"25",2020-06-03,0.354
"26",2020-06-04,0.347
"27",2020-06-05,0.347
"28",2020-06-06,0.339
"29",2020-06-07,0.345
"30",2020-06-09,0.336
"31",2020-06-10,0.324
"32",2020-06-11,0.317
"33",2020-06-12,0.309
"34",2020-06-13,0.298
"35",2020-06-14,0.32
"36",2020-06-16,0.328
"37",2020-06-17,0.321
"38",2020-06-18,0.314
"39",2020-06-19,0.328
"40",2020-06-20,0.32
"41",2020-06-21,0.319
"42",2020-06-23,0.315
"43",2020-06-26,0.315
"44",2020-06-27,0.316
"45",2020-06-28,0.306
"46",2020-06-30,0.318
"47",2020-07-01,0.319
"48",2020-07-02,0.323
"49",2020-07-03,0.332
"50",2020-07-04,0.341
"51",2020-07-05,0.354
"52",2020-07-07,0.355
"53",2020-07-08,0.339
"54",2020-07-09,0.338
"55",2020-07-10,0.339
"56",2020-07-11,0.344
"57",2020-07-14,0.322
"58",2020-07-15,0.337
"59",2020-07-16,0.348
"60",2020-07-17,0.36
"61",2020-07-18,0.359
"62",2020-07-19,0.351
"63",2020-07-21,0.356
"64",2020-07-24,0.349
"65",2020-07-25,0.346
"66",2020-07-26,0.336
"67",2020-07-28,0.336
"68",2020-07-31,0.328
"69",2020-08-01,0.323
"70",2020-08-02,0.322
"71",2020-08-04,0.328
"72",2020-08-06,0.322
"73",2020-08-07,0.317
"74",2020-08-08,0.316
"75",2020-08-12,0.332
"76",2020-08-13,0.318
"77",2020-08-14,0.311
"78",2020-08-15,0.29
"79",2020-08-16,0.279
"80",2020-08-18,0.274
"81",2020-08-19,0.276
"82",2020-08-20,0.278
"83",2020-08-21,0.269
"84",2020-08-22,0.275
"85",2020-08-23,0.268
"86",2020-08-25,0.274
"87",2020-08-26,0.264
"88",2020-08-27,0.264
"89",2020-08-28,0.262
"90",2020-08-29,0.27
"91",2020-08-30,0.27
"92",2020-09-01,0.266
"93",2020-09-03,0.253
"94",2020-09-04,0.251
"95",2020-09-04,0.254
"96",2020-09-06,0.249
"97",2020-09-07,0.261
"98",2020-09-08,0.261
"99",2020-09-09,0.255
"100",2020-09-10,0.264
"101",2020-09-11,0.28
"102",2020-09-12,0.273
"103",2020-09-13,0.267
"104",2020-09-15,0.268
"105",2020-09-16,0.28
"106",2020-09-17,0.274
"107",2020-09-18,0.269
"108",2020-09-19,0.263
"109",2020-09-20,0.26
"110",2020-09-20,0.265
