"","GDAY_DS","BA"
"1",2020-05-05,0.6
"2",2020-05-06,0.391
"3",2020-05-07,0.361
"4",2020-05-08,0.419
"5",2020-05-10,0.423
"6",2020-05-12,0.428
"7",2020-05-13,0.436
"8",2020-05-14,0.429
"9",2020-05-15,0.41
"10",2020-05-16,0.432
"11",2020-05-17,0.421
"12",2020-05-19,0.414
"13",2020-05-20,0.397
"14",2020-05-21,0.407
"15",2020-05-22,0.407
"16",2020-05-23,0.412
"17",2020-05-24,0.424
"18",2020-05-26,0.413
"19",2020-05-27,0.394
"20",2020-05-28,0.405
"21",2020-05-29,0.407
"22",2020-05-30,0.391
"23",2020-05-31,0.379
"24",2020-06-02,0.378
"25",2020-06-03,0.379
"26",2020-06-04,0.382
"27",2020-06-05,0.38
"28",2020-06-06,0.359
"29",2020-06-07,0.364
"30",2020-06-09,0.374
"31",2020-06-10,0.378
"32",2020-06-11,0.376
"33",2020-06-12,0.364
"34",2020-06-13,0.358
"35",2020-06-14,0.343
"36",2020-06-16,0.35
"37",2020-06-17,0.356
"38",2020-06-18,0.348
"39",2020-06-19,0.352
"40",2020-06-20,0.35
"41",2020-06-21,0.355
"42",2020-06-23,0.351
"43",2020-06-25,0.347
"44",2020-06-25,0.343
"45",2020-06-26,0.353
"46",2020-06-27,0.354
"47",2020-06-28,0.355
"48",2020-06-30,0.359
"49",2020-07-01,0.361
"50",2020-07-02,0.365
"51",2020-07-03,0.365
"52",2020-07-04,0.367
"53",2020-07-05,0.367
"54",2020-07-07,0.372
"55",2020-07-08,0.377
"56",2020-07-09,0.367
"57",2020-07-10,0.362
"58",2020-07-11,0.364
"59",2020-07-14,0.367
"60",2020-07-15,0.363
"61",2020-07-16,0.352
"62",2020-07-17,0.356
"63",2020-07-18,0.35
"64",2020-07-19,0.351
"65",2020-07-21,0.34
"66",2020-07-24,0.323
"67",2020-07-25,0.323
"68",2020-07-26,0.305
"69",2020-07-28,0.309
"70",2020-07-30,0.301
"71",2020-07-31,0.302
"72",2020-08-01,0.299
"73",2020-08-02,0.291
"74",2020-08-04,0.301
"75",2020-08-05,0.291
"76",2020-08-06,0.287
"77",2020-08-07,0.284
"78",2020-08-08,0.278
"79",2020-08-11,0.28
"80",2020-08-12,0.286
"81",2020-08-13,0.277
"82",2020-08-14,0.274
"83",2020-08-15,0.28
"84",2020-08-16,0.272
"85",2020-08-18,0.274
"86",2020-08-19,0.272
"87",2020-08-20,0.278
"88",2020-08-21,0.272
"89",2020-08-22,0.269
"90",2020-08-23,0.262
"91",2020-08-25,0.267
"92",2020-08-26,0.271
"93",2020-08-27,0.282
"94",2020-08-28,0.291
"95",2020-08-29,0.291
"96",2020-08-30,0.294
"97",2020-09-01,0.295
"98",2020-09-03,0.28
"99",2020-09-04,0.286
"100",2020-09-05,0.285
"101",2020-09-06,0.287
"102",2020-09-08,0.299
"103",2020-09-09,0.292
"104",2020-09-10,0.294
"105",2020-09-12,0.282
"106",2020-09-13,0.291
"107",2020-09-15,0.289
"108",2020-09-16,0.286
"109",2020-09-17,0.274
"110",2020-09-18,0.272
"111",2020-09-19,0.267
"112",2020-09-20,0.262
