"","GDAY_DS","BA"
"1",2020-05-05,0.355
"2",2020-05-06,0.29
"3",2020-05-07,0.32
"4",2020-05-08,0.374
"5",2020-05-10,0.348
"6",2020-05-12,0.357
"7",2020-05-13,0.378
"8",2020-05-14,0.385
"9",2020-05-15,0.379
"10",2020-05-16,0.361
"11",2020-05-17,0.376
"12",2020-05-19,0.385
"13",2020-05-20,0.375
"14",2020-05-21,0.381
"15",2020-05-22,0.374
"16",2020-05-23,0.372
"17",2020-05-24,0.37
"18",2020-05-26,0.363
"19",2020-05-27,0.357
"20",2020-05-28,0.355
"21",2020-05-29,0.359
"22",2020-05-30,0.335
"23",2020-05-31,0.332
"24",2020-06-02,0.326
"25",2020-06-03,0.33
"26",2020-06-04,0.33
"27",2020-06-05,0.326
"28",2020-06-06,0.329
"29",2020-06-07,0.317
"30",2020-06-09,0.307
"31",2020-06-11,0.313
"32",2020-06-11,0.303
"33",2020-06-12,0.308
"34",2020-06-13,0.303
"35",2020-06-14,0.298
"36",2020-06-16,0.302
"37",2020-06-17,0.311
"38",2020-06-18,0.323
"39",2020-06-19,0.309
"40",2020-06-20,0.332
"41",2020-06-21,0.339
"42",2020-06-23,0.348
"43",2020-06-25,0.346
"44",2020-06-25,0.328
"45",2020-06-26,0.321
"46",2020-06-27,0.329
"47",2020-06-28,0.331
"48",2020-06-30,0.333
"49",2020-07-01,0.332
"50",2020-07-02,0.34
"51",2020-07-03,0.341
"52",2020-07-04,0.352
"53",2020-07-05,0.353
"54",2020-07-07,0.357
"55",2020-07-08,0.345
"56",2020-07-09,0.345
"57",2020-07-10,0.347
"58",2020-07-11,0.333
"59",2020-07-13,0.337
"60",2020-07-14,0.334
"61",2020-07-15,0.333
"62",2020-07-16,0.349
"63",2020-07-17,0.367
"64",2020-07-18,0.363
"65",2020-07-19,0.357
"66",2020-07-21,0.359
"67",2020-07-24,0.352
"68",2020-07-26,0.345
"69",2020-07-27,0.342
"70",2020-07-28,0.329
"71",2020-07-29,0.333
"72",2020-07-30,0.32
"73",2020-07-31,0.316
"74",2020-08-01,0.304
"75",2020-08-04,0.302
"76",2020-08-06,0.3
"77",2020-08-07,0.286
"78",2020-08-08,0.273
"79",2020-08-11,0.251
"80",2020-08-12,0.247
"81",2020-08-13,0.243
"82",2020-08-14,0.248
"83",2020-08-15,0.249
"84",2020-08-16,0.239
"85",2020-08-18,0.241
"86",2020-08-19,0.251
"87",2020-08-20,0.251
"88",2020-08-21,0.259
"89",2020-08-22,0.254
"90",2020-08-22,0.261
"91",2020-08-25,0.27
"92",2020-08-26,0.268
"93",2020-08-27,0.278
"94",2020-08-28,0.283
"95",2020-08-29,0.291
"96",2020-08-30,0.294
"97",2020-09-01,0.302
"98",2020-09-03,0.298
"99",2020-09-04,0.285
"100",2020-09-04,0.28
"101",2020-09-05,0.274
"102",2020-09-06,0.268
"103",2020-09-08,0.273
"104",2020-09-09,0.261
"105",2020-09-10,0.257
"106",2020-09-11,0.25
"107",2020-09-12,0.245
"108",2020-09-13,0.239
"109",2020-09-15,0.246
"110",2020-09-16,0.255
"111",2020-09-17,0.241
"112",2020-09-18,0.236
"113",2020-09-19,0.228
"114",2020-09-20,0.222
