"","GDAY_DS","BA"
"1",2020-05-05,0.364
"2",2020-05-06,0.348
"3",2020-05-07,0.347
"4",2020-05-08,0.31
"5",2020-05-09,0.317
"6",2020-05-10,0.347
"7",2020-05-12,0.345
"8",2020-05-13,0.311
"9",2020-05-14,0.314
"10",2020-05-15,0.346
"11",2020-05-16,0.367
"12",2020-05-17,0.368
"13",2020-05-19,0.373
"14",2020-05-20,0.362
"15",2020-05-21,0.354
"16",2020-05-22,0.363
"17",2020-05-23,0.371
"18",2020-05-24,0.37
"19",2020-05-26,0.364
"20",2020-05-27,0.354
"21",2020-05-28,0.347
"22",2020-05-29,0.351
"23",2020-05-30,0.342
"24",2020-05-31,0.349
"25",2020-06-02,0.341
"26",2020-06-03,0.362
"27",2020-06-04,0.373
"28",2020-06-05,0.353
"29",2020-06-06,0.339
"30",2020-06-07,0.327
"31",2020-06-09,0.326
"32",2020-06-10,0.326
"33",2020-06-11,0.326
"34",2020-06-13,0.314
"35",2020-06-13,0.306
"36",2020-06-14,0.307
"37",2020-06-16,0.305
"38",2020-06-17,0.316
"39",2020-06-18,0.326
"40",2020-06-19,0.337
"41",2020-06-20,0.351
"42",2020-06-21,0.334
"43",2020-06-23,0.346
"44",2020-06-24,0.339
"45",2020-06-25,0.331
"46",2020-06-26,0.332
"47",2020-06-27,0.326
"48",2020-06-28,0.341
"49",2020-06-30,0.33
"50",2020-07-01,0.327
"51",2020-07-02,0.333
"52",2020-07-03,0.343
"53",2020-07-04,0.338
"54",2020-07-05,0.331
"55",2020-07-07,0.329
"56",2020-07-08,0.331
"57",2020-07-09,0.328
"58",2020-07-10,0.331
"59",2020-07-11,0.333
"60",2020-07-14,0.331
"61",2020-07-15,0.326
"62",2020-07-16,0.327
"63",2020-07-17,0.331
"64",2020-07-18,0.328
"65",2020-07-19,0.331
"66",2020-07-21,0.321
"67",2020-07-25,0.321
"68",2020-07-26,0.33
"69",2020-07-29,0.326
"70",2020-07-30,0.31
"71",2020-07-31,0.307
"72",2020-08-01,0.307
"73",2020-08-02,0.31
"74",2020-08-04,0.3
"75",2020-08-05,0.301
"76",2020-08-06,0.287
"77",2020-08-07,0.273
"78",2020-08-08,0.274
"79",2020-08-11,0.27
"80",2020-08-12,0.272
"81",2020-08-13,0.262
"82",2020-08-14,0.269
"83",2020-08-15,0.259
"84",2020-08-16,0.254
"85",2020-08-18,0.252
"86",2020-08-19,0.252
"87",2020-08-20,0.251
"88",2020-08-21,0.258
"89",2020-08-22,0.261
"90",2020-08-23,0.256
"91",2020-08-25,0.254
"92",2020-08-26,0.257
"93",2020-08-27,0.251
"94",2020-08-29,0.25
"95",2020-08-30,0.255
"96",2020-09-01,0.246
"97",2020-09-03,0.258
"98",2020-09-04,0.261
"99",2020-09-06,0.262
"100",2020-09-08,0.253
"101",2020-09-09,0.259
"102",2020-09-09,0.256
"103",2020-09-10,0.261
"104",2020-09-11,0.255
"105",2020-09-12,0.253
"106",2020-09-13,0.26
"107",2020-09-15,0.265
"108",2020-09-16,0.278
"109",2020-09-17,0.277
"110",2020-09-18,0.277
"111",2020-09-19,0.28
"112",2020-09-20,0.289
