"","GDAY_DS","BA"
"1",2020-05-05,0.219
"2",2020-05-06,0.281
"3",2020-05-07,0.363
"4",2020-05-08,0.328
"5",2020-05-09,0.342
"6",2020-05-10,0.351
"7",2020-05-12,0.329
"8",2020-05-13,0.315
"9",2020-05-14,0.342
"10",2020-05-16,0.332
"11",2020-05-16,0.336
"12",2020-05-17,0.334
"13",2020-05-19,0.327
"14",2020-05-20,0.324
"15",2020-05-21,0.33
"16",2020-05-22,0.337
"17",2020-05-23,0.337
"18",2020-05-24,0.339
"19",2020-05-26,0.352
"20",2020-05-27,0.359
"21",2020-05-28,0.358
"22",2020-05-29,0.36
"23",2020-05-30,0.354
"24",2020-05-31,0.358
"25",2020-06-02,0.362
"26",2020-06-03,0.363
"27",2020-06-04,0.347
"28",2020-06-05,0.347
"29",2020-06-06,0.339
"30",2020-06-07,0.343
"31",2020-06-09,0.35
"32",2020-06-10,0.354
"33",2020-06-11,0.349
"34",2020-06-12,0.34
"35",2020-06-13,0.34
"36",2020-06-14,0.353
"37",2020-06-16,0.346
"38",2020-06-17,0.341
"39",2020-06-18,0.33
"40",2020-06-19,0.329
"41",2020-06-20,0.33
"42",2020-06-21,0.316
"43",2020-06-23,0.321
"44",2020-06-25,0.324
"45",2020-06-25,0.329
"46",2020-06-26,0.34
"47",2020-06-27,0.335
"48",2020-06-28,0.318
"49",2020-06-30,0.314
"50",2020-07-01,0.324
"51",2020-07-02,0.323
"52",2020-07-03,0.326
"53",2020-07-04,0.331
"54",2020-07-05,0.325
"55",2020-07-07,0.334
"56",2020-07-08,0.335
"57",2020-07-09,0.335
"58",2020-07-10,0.345
"59",2020-07-11,0.352
"60",2020-07-13,0.376
"61",2020-07-14,0.364
"62",2020-07-15,0.37
"63",2020-07-16,0.376
"64",2020-07-17,0.378
"65",2020-07-18,0.381
"66",2020-07-19,0.388
"67",2020-07-21,0.385
"68",2020-07-24,0.365
"69",2020-07-25,0.355
"70",2020-07-26,0.357
"71",2020-07-28,0.346
"72",2020-07-30,0.34
"73",2020-07-31,0.327
"74",2020-08-01,0.333
"75",2020-08-02,0.329
"76",2020-08-04,0.322
"77",2020-08-05,0.319
"78",2020-08-06,0.298
"79",2020-08-07,0.301
"80",2020-08-08,0.293
"81",2020-08-09,0.282
"82",2020-08-11,0.27
"83",2020-08-12,0.276
"84",2020-08-13,0.285
"85",2020-08-14,0.279
"86",2020-08-15,0.283
"87",2020-08-16,0.291
"88",2020-08-18,0.282
"89",2020-08-19,0.282
"90",2020-08-20,0.275
"91",2020-08-21,0.27
"92",2020-08-22,0.26
"93",2020-08-23,0.265
"94",2020-08-25,0.264
"95",2020-08-26,0.256
"96",2020-08-27,0.263
"97",2020-08-28,0.27
"98",2020-08-29,0.269
"99",2020-08-30,0.273
"100",2020-09-01,0.268
"101",2020-09-02,0.264
"102",2020-09-03,0.259
"103",2020-09-04,0.261
"104",2020-09-05,0.255
"105",2020-09-06,0.255
"106",2020-09-08,0.266
"107",2020-09-09,0.27
"108",2020-09-10,0.266
"109",2020-09-11,0.275
"110",2020-09-12,0.274
"111",2020-09-13,0.269
"112",2020-09-15,0.27
"113",2020-09-16,0.265
"114",2020-09-17,0.252
"115",2020-09-18,0.242
"116",2020-09-19,0.249
"117",2020-09-20,0.25
