"","GDAY_DS","ER","WLS"
"1",2020-05-05,0,1
"2",2020-05-06,1.25,0.75
"3",2020-05-07,1.833,0.722
"4",2020-05-08,2.25,0.667
"5",2020-05-09,2.52,0.613
"6",2020-05-10,2.739,0.567
"7",2020-05-12,2.858,0.527
"8",2020-05-13,2.938,0.492
"9",2020-05-14,2.97,0.474
"10",2020-05-15,2.973,0.467
"11",2020-05-16,2.992,0.458
"12",2020-05-17,3.013,0.454
"13",2020-05-19,3.089,0.449
"14",2020-05-20,3.175,0.442
"15",2020-05-21,3.247,0.439
"16",2020-05-22,3.306,0.439
"17",2020-05-23,3.354,0.438
"18",2020-05-24,3.408,0.435
"19",2020-05-26,3.658,0.75
"20",2020-05-27,3.8,0.722
"21",2020-05-28,3.911,0.667
"22",2020-05-29,4.001,0.613
"23",2020-05-30,4.097,0.567
"24",2020-05-31,4.184,0.527
"25",2020-06-02,4.322,0.492
"26",2020-06-03,4.467,0.474
"27",2020-06-04,4.637,0.467
"28",2020-06-05,4.85,0.458
"29",2020-06-06,5.08,0.454
"30",2020-06-07,5.316,0.449
"31",2020-06-09,5.498,0.442
"32",2020-06-10,5.674,0.439
"33",2020-06-11,5.853,0.439
"34",2020-06-12,6.044,0.438
"35",2020-06-13,6.247,0.435
"36",2020-06-14,6.414,0.438
"37",2020-06-16,6.59,0.45
"38",2020-06-17,6.704,0.452
"39",2020-06-18,6.833,0.45
"40",2020-06-19,6.944,0.445
"41",2020-06-20,7.025,0.438
"42",2020-06-21,7.105,0.431
"43",2020-06-23,7.123,0.427
"44",2020-06-24,7.133,0.426
"45",2020-06-25,7.126,0.424
"46",2020-06-26,7.068,0.423
"47",2020-06-27,6.954,0.422
"48",2020-06-28,6.833,0.42
"49",2020-07-01,6.71,0.419
"50",2020-07-02,6.562,0.42
"51",2020-07-03,6.401,0.42
"52",2020-07-04,6.222,0.419
"53",2020-07-05,6.037,0.418
"54",2020-07-07,5.895,0.416
"55",2020-07-08,5.725,0.414
"56",2020-07-09,5.586,0.411
"57",2020-07-10,5.429,0.408
"58",2020-07-11,5.287,0.406
"59",2020-07-13,5.161,0.403
"60",2020-07-14,5.028,0.399
"61",2020-07-15,4.911,0.396
"62",2020-07-16,4.806,0.393
"63",2020-07-17,4.725,0.39
"64",2020-07-18,4.66,0.386
"65",2020-07-19,4.623,0.383
"66",2020-07-21,4.586,0.38
"67",2020-07-22,4.559,0.376
"68",2020-07-24,4.549,0.373
"69",2020-07-26,4.565,0.37
"70",2020-07-27,4.605,0.368
"71",2020-07-29,4.642,0.366
"72",2020-07-30,4.645,0.363
"73",2020-07-31,4.642,0.361
"74",2020-08-01,4.645,0.359
"75",2020-08-05,4.654,0.357
"76",2020-08-06,4.661,0.355
"77",2020-08-09,4.685,0.353
"78",2020-08-11,4.707,0.35
"79",2020-08-12,4.738,0.349
"80",2020-08-14,4.781,0.347
"81",2020-08-15,4.787,0.346
"82",2020-08-16,4.799,0.344
"83",2020-08-18,4.809,0.343
"84",2020-08-19,4.855,0.341
"85",2020-08-20,4.91,0.34
"86",2020-08-21,4.944,0.339
"87",2020-08-23,4.951,0.337
"88",2020-08-24,4.935,0.336
"89",2020-08-25,4.932,0.335
"90",2020-08-26,4.96,0.334
"91",2020-08-27,5,0.333
"92",2020-08-29,5.04,0.332
"93",2020-08-30,5.071,0.331
"94",2020-09-01,5.099,0.33
"95",2020-09-03,5.111,0.33
"96",2020-09-04,5.12,0.329
"97",2020-09-05,5.136,0.328
"98",2020-09-06,5.123,0.327
"99",2020-09-08,5.13,0.327
"100",2020-09-09,5.142,0.326
"101",2020-09-10,5.16,0.325
"102",2020-09-11,5.08,0.324
"103",2020-09-12,5.003,0.323
"104",2020-09-13,4.957,0.322
"105",2020-09-15,4.926,0.321
"106",2020-09-16,4.929,0.321
"107",2020-09-17,4.901,0.32
"108",2020-09-18,4.84,0.319
"109",2020-09-19,4.799,0.319
"110",2020-09-20,4.735,0.318
