"","GDAY_DS","ER","WLS"
"1",2020-05-05,11,0
"2",2020-05-06,8.75,0
"3",2020-05-07,7.833,0.111
"4",2020-05-08,7.25,0.146
"5",2020-05-09,7.2,0.157
"6",2020-05-10,7.056,0.186
"7",2020-05-12,6.843,0.221
"8",2020-05-13,6.644,0.256
"9",2020-05-14,6.474,0.277
"10",2020-05-15,6.356,0.289
"11",2020-05-16,6.25,0.304
"12",2020-05-17,6.159,0.313
"13",2020-05-19,6.064,0.325
"14",2020-05-20,5.958,0.337
"15",2020-05-21,5.849,0.35
"16",2020-05-22,5.738,0.364
"17",2020-05-23,5.635,0.377
"18",2020-05-24,5.538,0.387
"19",2020-05-26,5.109,0
"20",2020-05-27,4.94,0.111
"21",2020-05-28,4.801,0.146
"22",2020-05-29,4.696,0.157
"23",2020-05-30,4.483,0.186
"24",2020-05-31,4.338,0.221
"25",2020-06-02,4.238,0.256
"26",2020-06-03,4.153,0.277
"27",2020-06-04,4.073,0.289
"28",2020-06-05,3.976,0.304
"29",2020-06-06,3.88,0.313
"30",2020-06-07,3.778,0.325
"31",2020-06-09,3.689,0.337
"32",2020-06-10,3.621,0.35
"33",2020-06-11,3.599,0.364
"34",2020-06-12,3.602,0.377
"35",2020-06-13,3.599,0.387
"36",2020-06-14,3.608,0.366
"37",2020-06-16,3.664,0.365
"38",2020-06-17,3.707,0.359
"39",2020-06-19,3.741,0.352
"40",2020-06-20,3.759,0.351
"41",2020-06-21,3.821,0.354
"42",2020-06-23,3.824,0.36
"43",2020-06-26,3.833,0.364
"44",2020-06-27,3.846,0.365
"45",2020-06-28,3.855,0.368
"46",2020-07-01,3.864,0.37
"47",2020-07-02,3.876,0.373
"48",2020-07-03,3.892,0.377
"49",2020-07-04,3.929,0.382
"50",2020-07-05,3.988,0.387
"51",2020-07-07,3.994,0.393
"52",2020-07-08,4.003,0.398
"53",2020-07-09,4.031,0.403
"54",2020-07-10,4.062,0.407
"55",2020-07-11,4.077,0.41
"56",2020-07-13,4.093,0.412
"57",2020-07-14,4.117,0.415
"58",2020-07-15,4.148,0.417
"59",2020-07-16,4.151,0.42
"60",2020-07-17,4.176,0.422
"61",2020-07-18,4.194,0.425
"62",2020-07-19,4.231,0.428
"63",2020-07-21,4.299,0.43
"64",2020-07-22,4.37,0.431
"65",2020-07-24,4.463,0.433
"66",2020-07-26,4.574,0.435
"67",2020-07-27,4.651,0.437
"68",2020-07-29,4.707,0.438
"69",2020-07-30,4.765,0.44
"70",2020-07-31,4.793,0.442
"71",2020-08-01,4.824,0.444
"72",2020-08-05,4.84,0.446
"73",2020-08-06,4.861,0.448
"74",2020-08-09,4.895,0.45
"75",2020-08-11,4.923,0.452
"76",2020-08-12,4.957,0.454
"77",2020-08-14,5.006,0.455
"78",2020-08-15,5.062,0.457
"79",2020-08-16,5.102,0.458
"80",2020-08-18,5.111,0.46
"81",2020-08-19,5.136,0.461
"82",2020-08-20,5.167,0.463
"83",2020-08-21,5.16,0.464
"84",2020-08-23,5.127,0.465
"85",2020-08-24,5.096,0.466
"86",2020-08-25,5.077,0.467
"87",2020-08-26,5.09,0.468
"88",2020-08-27,5.117,0.469
"89",2020-08-29,5.139,0.47
"90",2020-08-30,5.157,0.471
"91",2020-09-01,5.17,0.472
"92",2020-09-03,5.173,0.473
"93",2020-09-04,5.17,0.474
"94",2020-09-05,5.17,0.475
"95",2020-09-06,5.154,0.476
"96",2020-09-08,5.139,0.476
"97",2020-09-09,5.142,0.477
"98",2020-09-10,5.16,0.477
"99",2020-09-11,5.08,0.478
"100",2020-09-12,5.003,0.478
"101",2020-09-13,4.957,0.478
"102",2020-09-15,4.926,0.479
"103",2020-09-16,4.929,0.479
"104",2020-09-17,4.901,0.479
"105",2020-09-18,4.84,0.479
"106",2020-09-19,4.799,0.48
"107",2020-09-20,4.735,0.48
