"","GDAY_DS","ER","WLS"
"1",2020-05-05,7,0
"2",2020-05-06,8,0
"3",2020-05-07,7.333,0
"4",2020-05-08,6.25,0.25
"5",2020-05-10,7.4,0.2
"6",2020-05-12,7.333,0.167
"7",2020-05-13,6.857,0.143
"8",2020-05-14,6.125,0.125
"9",2020-05-15,5.778,0.222
"10",2020-05-16,5.5,0.3
"11",2020-05-17,5.091,0.364
"12",2020-05-19,5.583,0.417
"13",2020-05-20,5.231,0.462
"14",2020-05-21,5.5,0.429
"15",2020-05-22,5.467,0.4
"16",2020-05-23,5.25,0.438
"17",2020-05-24,5.471,0.412
"18",2020-05-26,5.389,0.389
"19",2020-05-27,5,0
"20",2020-05-28,4.778,0
"21",2020-05-29,4.667,0.25
"22",2020-05-30,5.278,0.2
"23",2020-05-31,5,0.167
"24",2020-06-02,5.222,0.143
"25",2020-06-03,5.111,0.125
"26",2020-06-04,5.833,0.222
"27",2020-06-05,6,0.3
"28",2020-06-06,5.889,0.364
"29",2020-06-07,6.111,0.417
"30",2020-06-09,5.667,0.462
"31",2020-06-10,6.056,0.429
"32",2020-06-11,6,0.4
"33",2020-06-13,6,0.438
"34",2020-06-13,6.111,0.412
"35",2020-06-14,6.278,0.389
"36",2020-06-16,6.333,0.421
"37",2020-06-17,6.556,0.45
"38",2020-06-18,6.444,0.429
"39",2020-06-19,6.667,0.409
"40",2020-06-20,6.333,0.435
"41",2020-06-21,6.056,0.417
"42",2020-06-23,5.667,0.44
"43",2020-06-25,5.722,0.423
"44",2020-06-25,5.056,0.407
"45",2020-06-26,5.056,0.393
"46",2020-06-27,5.111,0.379
"47",2020-06-28,5.056,0.367
"48",2020-06-30,5.111,0.355
"49",2020-07-01,4.944,0.375
"50",2020-07-02,4.667,0.364
"51",2020-07-03,4.5,0.382
"52",2020-07-04,4.833,0.371
"53",2020-07-05,4.444,0.389
"54",2020-07-07,4.278,0.405
"55",2020-07-08,4.278,0.421
"56",2020-07-09,4.667,0.436
"57",2020-07-10,4.389,0.425
"58",2020-07-11,4.278,0.439
"59",2020-07-14,4.278,0.429
"60",2020-07-15,4.444,0.419
"61",2020-07-16,4.333,0.432
"62",2020-07-17,4.389,0.422
"63",2020-07-18,4.389,0.435
"64",2020-07-19,4.722,0.447
"65",2020-07-21,5,0.438
"66",2020-07-22,4.889,0.449
"67",2020-07-24,5,0.46
"68",2020-07-26,5.222,0.471
"69",2020-07-27,5.389,0.462
"70",2020-07-29,5.222,0.472
"71",2020-07-30,5,0.481
"72",2020-07-31,4.944,0.491
"73",2020-08-01,5.111,0.482
"74",2020-08-05,4.833,0.491
"75",2020-08-06,4.889,0.5
"76",2020-08-09,4.889,0.508
"77",2020-08-11,5,0.5
"78",2020-08-12,4.778,0.508
"79",2020-08-14,5.278,0.508
"80",2020-08-15,5.222,0.5
"81",2020-08-16,5,0.492
"82",2020-08-18,4.778,0.484
"83",2020-08-19,5.5,0.477
"84",2020-08-20,5.556,0.47
"85",2020-08-21,5.222,0.463
"86",2020-08-23,5,0.463
"87",2020-08-24,4.833,0.471
"88",2020-08-25,5.056,0.464
"89",2020-08-26,5.333,0.471
"90",2020-08-27,5.278,0.465
"91",2020-08-29,5.389,0.472
"92",2020-08-30,5.222,0.466
"93",2020-09-01,5.167,0.459
"94",2020-09-03,5.167,0.467
"95",2020-09-04,5,0.461
"96",2020-09-05,5.111,0.455
"97",2020-09-06,4.944,0.449
"98",2020-09-08,4.944,0.456
"99",2020-09-09,5.056,0.45
"100",2020-09-10,5.111,0.444
"101",2020-09-11,4.056,0.439
"102",2020-09-12,4.167,0.446
"103",2020-09-13,4.389,0.452
"104",2020-09-15,4.444,0.459
"105",2020-09-16,4.889,0.453
"106",2020-09-17,4.556,0.448
"107",2020-09-18,4.222,0.455
"108",2020-09-19,4.556,0.449
"109",2020-09-20,4.222,0.444
