"","GDAY_DS","ER","WLS"
"1",2020-05-05,2,1
"2",2020-05-06,3.5,0.5
"3",2020-05-07,4.333,0.333
"4",2020-05-08,6.5,0.25
"5",2020-05-10,6.6,0.4
"6",2020-05-12,6.333,0.5
"7",2020-05-13,5.714,0.571
"8",2020-05-14,5.25,0.625
"9",2020-05-16,4.778,0.667
"10",2020-05-16,4.6,0.7
"11",2020-05-17,5,0.636
"12",2020-05-19,5.083,0.667
"13",2020-05-20,4.846,0.615
"14",2020-05-21,4.5,0.643
"15",2020-05-22,4.533,0.667
"16",2020-05-23,4.625,0.625
"17",2020-05-24,4.588,0.647
"18",2020-05-26,4.333,0.667
"19",2020-05-27,4.444,0.5
"20",2020-05-28,4.167,0.333
"21",2020-05-29,3.944,0.25
"22",2020-05-30,3.5,0.4
"23",2020-05-31,3.389,0.5
"24",2020-06-02,3.222,0.571
"25",2020-06-03,3.722,0.625
"26",2020-06-04,3.611,0.667
"27",2020-06-05,3.889,0.7
"28",2020-06-06,4,0.636
"29",2020-06-07,3.556,0.667
"30",2020-06-09,3.5,0.615
"31",2020-06-11,3.444,0.643
"32",2020-06-11,3.611,0.667
"33",2020-06-12,3.444,0.625
"34",2020-06-13,3.444,0.647
"35",2020-06-14,3.556,0.667
"36",2020-06-16,3.833,0.684
"37",2020-06-17,3.667,0.7
"38",2020-06-18,4,0.714
"39",2020-06-19,4.889,0.682
"40",2020-06-20,5.056,0.696
"41",2020-06-21,4.944,0.667
"42",2020-06-23,5.222,0.64
"43",2020-06-25,4.889,0.654
"44",2020-06-25,5.333,0.63
"45",2020-06-26,5.333,0.607
"46",2020-06-27,5.056,0.621
"47",2020-06-28,5,0.6
"48",2020-06-30,4.889,0.613
"49",2020-07-01,5.389,0.625
"50",2020-07-02,5.444,0.636
"51",2020-07-03,5.556,0.618
"52",2020-07-04,5.611,0.629
"53",2020-07-05,5.444,0.639
"54",2020-07-07,5.611,0.649
"55",2020-07-08,5.833,0.658
"56",2020-07-09,5.833,0.641
"57",2020-07-10,5.5,0.625
"58",2020-07-11,5.333,0.61
"59",2020-07-14,5.389,0.595
"60",2020-07-15,5.167,0.581
"61",2020-07-16,5.333,0.568
"62",2020-07-17,4.889,0.556
"63",2020-07-18,4.611,0.565
"64",2020-07-19,4.722,0.574
"65",2020-07-21,5.222,0.583
"66",2020-07-22,5.167,0.571
"67",2020-07-24,5,0.56
"68",2020-07-26,5.167,0.549
"69",2020-07-27,5.222,0.538
"70",2020-07-29,5.222,0.547
"71",2020-07-30,5.111,0.537
"72",2020-07-31,4.722,0.545
"73",2020-08-01,4.833,0.536
"74",2020-08-05,4.778,0.526
"75",2020-08-06,4.333,0.526
"76",2020-08-09,4.389,0.517
"77",2020-08-11,4.389,0.525
"78",2020-08-12,4.389,0.517
"79",2020-08-14,4.5,0.525
"80",2020-08-15,4.611,0.532
"81",2020-08-16,4.667,0.54
"82",2020-08-18,4.778,0.531
"83",2020-08-19,5.5,0.523
"84",2020-08-20,5.556,0.515
"85",2020-08-21,5.222,0.507
"86",2020-08-23,5,0.507
"87",2020-08-24,4.833,0.515
"88",2020-08-25,5.056,0.507
"89",2020-08-26,5.333,0.514
"90",2020-08-27,5.278,0.507
"91",2020-08-29,5.389,0.514
"92",2020-08-30,5.222,0.507
"93",2020-09-01,5.167,0.5
"94",2020-09-03,5.167,0.507
"95",2020-09-04,5,0.5
"96",2020-09-05,5.111,0.494
"97",2020-09-06,4.944,0.487
"98",2020-09-08,4.944,0.494
"99",2020-09-09,5.056,0.488
"100",2020-09-10,5.111,0.481
"101",2020-09-11,4.056,0.476
"102",2020-09-12,4.167,0.482
"103",2020-09-13,4.389,0.488
"104",2020-09-15,4.444,0.494
"105",2020-09-16,4.889,0.488
"106",2020-09-17,4.556,0.483
"107",2020-09-18,4.222,0.489
"108",2020-09-19,4.556,0.483
"109",2020-09-20,4.222,0.478
