"","GDAY_DS","ER","WLS"
"1",2020-05-05,2,1
"2",2020-05-06,2.5,1
"3",2020-05-07,2.667,1
"4",2020-05-08,4,1
"5",2020-05-10,3.2,1
"6",2020-05-12,4.5,0.833
"7",2020-05-13,5.143,0.857
"8",2020-05-14,5.125,0.75
"9",2020-05-15,4.778,0.667
"10",2020-05-16,4.4,0.7
"11",2020-05-17,4.182,0.636
"12",2020-05-19,4.583,0.583
"13",2020-05-20,4.692,0.538
"14",2020-05-21,4.786,0.5
"15",2020-05-22,4.933,0.533
"16",2020-05-23,5.375,0.5
"17",2020-05-24,5.059,0.529
"18",2020-05-26,4.778,0.556
"19",2020-05-27,5.278,1
"20",2020-05-28,5.278,1
"21",2020-05-29,5.333,1
"22",2020-05-30,5.111,1
"23",2020-05-31,5.278,0.833
"24",2020-06-02,5.056,0.857
"25",2020-06-03,5.167,0.75
"26",2020-06-04,5.278,0.667
"27",2020-06-05,5.389,0.7
"28",2020-06-06,5.333,0.636
"29",2020-06-07,5.333,0.583
"30",2020-06-09,5,0.538
"31",2020-06-10,4.722,0.5
"32",2020-06-11,4.389,0.533
"33",2020-06-12,4.111,0.5
"34",2020-06-13,3.778,0.529
"35",2020-06-14,4.333,0.556
"36",2020-06-16,4.556,0.526
"37",2020-06-17,4.167,0.5
"38",2020-06-18,4.167,0.476
"39",2020-06-19,4.444,0.455
"40",2020-06-20,4.222,0.478
"41",2020-06-21,4.222,0.458
"42",2020-06-23,4,0.44
"43",2020-06-26,3.722,0.423
"44",2020-06-27,3.667,0.444
"45",2020-06-28,3.611,0.464
"46",2020-06-30,4.056,0.483
"47",2020-07-01,4.222,0.5
"48",2020-07-02,4.389,0.516
"49",2020-07-03,4.611,0.531
"50",2020-07-04,4.833,0.515
"51",2020-07-05,5.056,0.529
"52",2020-07-07,5,0.514
"53",2020-07-08,4.556,0.528
"54",2020-07-09,4.389,0.514
"55",2020-07-10,4.556,0.5
"56",2020-07-11,4.389,0.487
"57",2020-07-14,3.889,0.5
"58",2020-07-15,4.389,0.488
"59",2020-07-16,4.778,0.5
"60",2020-07-17,5.444,0.488
"61",2020-07-18,5.389,0.477
"62",2020-07-19,5.111,0.489
"63",2020-07-21,5.444,0.5
"64",2020-07-22,5.111,0.489
"65",2020-07-24,5.222,0.479
"66",2020-07-26,5.278,0.469
"67",2020-07-27,5.278,0.48
"68",2020-07-29,5.444,0.471
"69",2020-07-30,5.167,0.462
"70",2020-07-31,4.944,0.472
"71",2020-08-01,5.222,0.481
"72",2020-08-05,5.444,0.473
"73",2020-08-06,5.278,0.482
"74",2020-08-09,5.611,0.491
"75",2020-08-11,5.833,0.483
"76",2020-08-12,5.5,0.492
"77",2020-08-14,5.5,0.483
"78",2020-08-15,4.778,0.475
"79",2020-08-16,4.611,0.484
"80",2020-08-18,4.778,0.476
"81",2020-08-19,5.5,0.469
"82",2020-08-20,5.556,0.462
"83",2020-08-21,5.222,0.455
"84",2020-08-23,5,0.455
"85",2020-08-24,4.833,0.463
"86",2020-08-25,5.056,0.456
"87",2020-08-26,5.333,0.464
"88",2020-08-27,5.278,0.457
"89",2020-08-29,5.389,0.465
"90",2020-08-30,5.222,0.458
"91",2020-09-01,5.167,0.452
"92",2020-09-03,5.167,0.459
"93",2020-09-04,5,0.453
"94",2020-09-05,5.111,0.447
"95",2020-09-06,4.944,0.442
"96",2020-09-08,4.944,0.449
"97",2020-09-09,5.056,0.443
"98",2020-09-10,5.111,0.438
"99",2020-09-11,4.056,0.432
"100",2020-09-12,4.167,0.439
"101",2020-09-13,4.389,0.446
"102",2020-09-15,4.444,0.452
"103",2020-09-16,4.889,0.447
"104",2020-09-17,4.556,0.442
"105",2020-09-18,4.222,0.448
"106",2020-09-19,4.556,0.443
"107",2020-09-20,4.222,0.438
