"","GDAY_DS","ER","WLS"
"1",2020-05-05,8,0
"2",2020-05-06,4.5,0.5
"3",2020-05-07,4,0.667
"4",2020-05-08,6,0.5
"5",2020-05-10,7.2,0.6
"6",2020-05-12,7,0.667
"7",2020-05-13,7,0.571
"8",2020-05-14,6.625,0.625
"9",2020-05-15,5.889,0.667
"10",2020-05-16,6.6,0.6
"11",2020-05-17,6.182,0.636
"12",2020-05-19,6.083,0.583
"13",2020-05-20,5.692,0.615
"14",2020-05-21,6.143,0.571
"15",2020-05-22,6.2,0.6
"16",2020-05-23,6.125,0.625
"17",2020-05-24,6.529,0.588
"18",2020-05-26,6.389,0.611
"19",2020-05-27,6.056,0.5
"20",2020-05-28,6.333,0.667
"21",2020-05-29,6.278,0.5
"22",2020-05-30,5.833,0.6
"23",2020-05-31,5.278,0.667
"24",2020-06-02,5.333,0.571
"25",2020-06-03,5.167,0.625
"26",2020-06-04,5.389,0.667
"27",2020-06-05,5.389,0.6
"28",2020-06-06,4.833,0.636
"29",2020-06-07,4.833,0.583
"30",2020-06-09,5.222,0.615
"31",2020-06-10,5.222,0.571
"32",2020-06-11,4.944,0.6
"33",2020-06-12,4.611,0.625
"34",2020-06-13,4.722,0.588
"35",2020-06-14,4.167,0.611
"36",2020-06-16,4.111,0.632
"37",2020-06-17,4.333,0.6
"38",2020-06-18,4.056,0.619
"39",2020-06-19,4.444,0.636
"40",2020-06-20,4.333,0.609
"41",2020-06-21,4.278,0.625
"42",2020-06-23,4,0.6
"43",2020-06-25,4.111,0.615
"44",2020-06-25,4,0.63
"45",2020-06-26,4.444,0.643
"46",2020-06-27,4.444,0.655
"47",2020-06-28,4.611,0.633
"48",2020-06-30,4.5,0.645
"49",2020-07-01,4.611,0.625
"50",2020-07-02,4.778,0.636
"51",2020-07-03,4.778,0.618
"52",2020-07-04,4.722,0.6
"53",2020-07-05,4.778,0.583
"54",2020-07-07,4.944,0.568
"55",2020-07-08,5.056,0.579
"56",2020-07-09,5,0.59
"57",2020-07-10,4.778,0.6
"58",2020-07-11,4.889,0.61
"59",2020-07-14,5.444,0.619
"60",2020-07-15,5.444,0.628
"61",2020-07-16,5.167,0.614
"62",2020-07-17,5,0.6
"63",2020-07-18,4.556,0.609
"64",2020-07-19,4.611,0.596
"65",2020-07-21,4.833,0.583
"66",2020-07-22,4.389,0.592
"67",2020-07-24,4.611,0.58
"68",2020-07-26,4.444,0.588
"69",2020-07-27,4.667,0.577
"70",2020-07-29,4.722,0.585
"71",2020-07-30,4.556,0.593
"72",2020-07-31,4.278,0.582
"73",2020-08-01,4.222,0.589
"74",2020-08-05,4.5,0.596
"75",2020-08-06,4.444,0.586
"76",2020-08-09,4.556,0.576
"77",2020-08-11,4.167,0.583
"78",2020-08-12,4.222,0.59
"79",2020-08-14,4.722,0.581
"80",2020-08-15,4.667,0.587
"81",2020-08-16,4.778,0.594
"82",2020-08-18,4.778,0.585
"83",2020-08-19,5.5,0.576
"84",2020-08-20,5.556,0.567
"85",2020-08-21,5.222,0.559
"86",2020-08-23,5,0.559
"87",2020-08-24,4.833,0.565
"88",2020-08-25,5.056,0.557
"89",2020-08-26,5.333,0.563
"90",2020-08-27,5.278,0.556
"91",2020-08-29,5.389,0.562
"92",2020-08-30,5.222,0.554
"93",2020-09-01,5.167,0.547
"94",2020-09-03,5.167,0.553
"95",2020-09-04,5,0.545
"96",2020-09-05,5.111,0.538
"97",2020-09-06,4.944,0.532
"98",2020-09-08,4.944,0.537
"99",2020-09-09,5.056,0.531
"100",2020-09-10,5.111,0.524
"101",2020-09-11,4.056,0.518
"102",2020-09-12,4.167,0.524
"103",2020-09-13,4.389,0.529
"104",2020-09-15,4.444,0.535
"105",2020-09-16,4.889,0.529
"106",2020-09-17,4.556,0.523
"107",2020-09-18,4.222,0.528
"108",2020-09-19,4.556,0.522
"109",2020-09-20,4.222,0.516
