"","GDAY_DS","ER","WLS"
"1",2020-05-05,3,0
"2",2020-05-06,2.5,0.5
"3",2020-05-07,4.333,0.333
"4",2020-05-08,5.5,0.25
"5",2020-05-10,5.2,0.2
"6",2020-05-12,5.333,0.167
"7",2020-05-13,5.571,0.143
"8",2020-05-14,5.25,0.125
"9",2020-05-15,5.333,0.111
"10",2020-05-16,5,0.1
"11",2020-05-17,5.545,0.091
"12",2020-05-19,5.917,0.083
"13",2020-05-20,5.692,0.154
"14",2020-05-21,5.786,0.143
"15",2020-05-22,5.533,0.133
"16",2020-05-23,5.688,0.125
"17",2020-05-24,5.412,0.176
"18",2020-05-26,5.167,0.167
"19",2020-05-27,5.222,0.5
"20",2020-05-28,5.167,0.333
"21",2020-05-29,5.056,0.25
"22",2020-05-30,4.722,0.2
"23",2020-05-31,4.667,0.167
"24",2020-06-02,4.389,0.143
"25",2020-06-03,4.444,0.125
"26",2020-06-04,4.833,0.111
"27",2020-06-05,4.556,0.1
"28",2020-06-06,4.667,0.091
"29",2020-06-07,4.222,0.083
"30",2020-06-09,3.778,0.154
"31",2020-06-11,3.778,0.143
"32",2020-06-11,3.611,0.133
"33",2020-06-12,3.833,0.125
"34",2020-06-13,3.5,0.176
"35",2020-06-14,3.611,0.167
"36",2020-06-16,3.833,0.158
"37",2020-06-17,3.889,0.2
"38",2020-06-18,4.111,0.238
"39",2020-06-19,3.889,0.273
"40",2020-06-20,4.222,0.304
"41",2020-06-21,4.444,0.333
"42",2020-06-23,4.833,0.32
"43",2020-06-25,5.167,0.308
"44",2020-06-25,4.611,0.333
"45",2020-06-26,4.556,0.357
"46",2020-06-27,4.444,0.345
"47",2020-06-28,4.444,0.367
"48",2020-06-30,4.556,0.355
"49",2020-07-01,4.667,0.344
"50",2020-07-02,4.778,0.333
"51",2020-07-03,4.667,0.324
"52",2020-07-04,5.056,0.343
"53",2020-07-05,5.056,0.333
"54",2020-07-07,5.056,0.324
"55",2020-07-08,4.889,0.316
"56",2020-07-09,5.056,0.308
"57",2020-07-10,5.111,0.3
"58",2020-07-11,4.778,0.293
"59",2020-07-13,4.611,0.286
"60",2020-07-14,4.556,0.279
"61",2020-07-15,4.167,0.295
"62",2020-07-16,4.389,0.311
"63",2020-07-17,4.889,0.304
"64",2020-07-18,5,0.298
"65",2020-07-19,5,0.292
"66",2020-07-21,5.278,0.286
"67",2020-07-22,5.111,0.28
"68",2020-07-24,5.167,0.294
"69",2020-07-26,5.333,0.288
"70",2020-07-27,5.111,0.302
"71",2020-07-29,5.333,0.296
"72",2020-07-30,5.111,0.309
"73",2020-07-31,5.056,0.304
"74",2020-08-01,5,0.298
"75",2020-08-05,5.111,0.31
"76",2020-08-06,5.167,0.305
"77",2020-08-09,5.278,0.317
"78",2020-08-11,5.111,0.311
"79",2020-08-12,4.889,0.306
"80",2020-08-14,5.222,0.317
"81",2020-08-15,4.833,0.312
"82",2020-08-16,4.722,0.323
"83",2020-08-18,4.778,0.318
"84",2020-08-19,5.5,0.313
"85",2020-08-20,5.556,0.309
"86",2020-08-21,5.222,0.304
"87",2020-08-23,5,0.304
"88",2020-08-24,4.833,0.314
"89",2020-08-25,5.056,0.31
"90",2020-08-26,5.333,0.319
"91",2020-08-27,5.278,0.315
"92",2020-08-29,5.389,0.324
"93",2020-08-30,5.222,0.32
"94",2020-09-01,5.167,0.316
"95",2020-09-03,5.167,0.325
"96",2020-09-04,5,0.321
"97",2020-09-05,5.111,0.316
"98",2020-09-06,4.944,0.312
"99",2020-09-08,4.944,0.321
"100",2020-09-09,5.056,0.317
"101",2020-09-10,5.111,0.313
"102",2020-09-11,4.056,0.31
"103",2020-09-12,4.167,0.318
"104",2020-09-13,4.389,0.326
"105",2020-09-15,4.444,0.333
"106",2020-09-16,4.889,0.33
"107",2020-09-17,4.556,0.326
"108",2020-09-18,4.222,0.333
"109",2020-09-19,4.556,0.33
"110",2020-09-20,4.222,0.326
