"","GDAY_DS","ER","WLS"
"1",2020-05-05,4,0
"2",2020-05-06,4,0
"3",2020-05-07,5,0
"4",2020-05-08,3.75,0.25
"5",2020-05-09,3.4,0.4
"6",2020-05-10,4.167,0.333
"7",2020-05-12,3.857,0.286
"8",2020-05-13,3.375,0.375
"9",2020-05-14,3.556,0.444
"10",2020-05-15,4.2,0.4
"11",2020-05-16,4.636,0.364
"12",2020-05-17,4.833,0.333
"13",2020-05-19,5.231,0.308
"14",2020-05-20,4.929,0.357
"15",2020-05-21,4.733,0.333
"16",2020-05-22,5.125,0.312
"17",2020-05-23,5.412,0.294
"18",2020-05-24,5.111,0.333
"19",2020-05-26,4.944,0
"20",2020-05-27,4.722,0
"21",2020-05-28,4.389,0.25
"22",2020-05-29,4.611,0.4
"23",2020-05-30,4.556,0.333
"24",2020-05-31,4.722,0.286
"25",2020-06-02,4.611,0.375
"26",2020-06-03,4.944,0.444
"27",2020-06-04,5.111,0.4
"28",2020-06-05,4.778,0.364
"29",2020-06-06,4.611,0.333
"30",2020-06-07,4.222,0.308
"31",2020-06-09,3.944,0.357
"32",2020-06-10,3.944,0.333
"33",2020-06-11,4,0.312
"34",2020-06-13,3.556,0.294
"35",2020-06-13,3.389,0.333
"36",2020-06-14,3.389,0.316
"37",2020-06-16,3.444,0.35
"38",2020-06-17,3.611,0.381
"39",2020-06-18,3.944,0.409
"40",2020-06-19,3.889,0.435
"41",2020-06-20,4.167,0.417
"42",2020-06-21,3.778,0.44
"43",2020-06-23,4,0.462
"44",2020-06-24,3.778,0.444
"45",2020-06-25,3.833,0.429
"46",2020-06-26,3.833,0.414
"47",2020-06-27,3.556,0.433
"48",2020-06-28,3.944,0.419
"49",2020-06-30,3.722,0.438
"50",2020-07-01,3.722,0.455
"51",2020-07-02,3.667,0.471
"52",2020-07-03,3.889,0.457
"53",2020-07-04,3.833,0.472
"54",2020-07-05,4.222,0.486
"55",2020-07-07,4.222,0.5
"56",2020-07-08,4.444,0.487
"57",2020-07-09,4.278,0.475
"58",2020-07-10,4.5,0.463
"59",2020-07-11,4.722,0.476
"60",2020-07-14,4.5,0.488
"61",2020-07-15,4.5,0.5
"62",2020-07-16,4.778,0.489
"63",2020-07-17,4.667,0.5
"64",2020-07-18,4.556,0.511
"65",2020-07-19,4.611,0.5
"66",2020-07-21,4.722,0.51
"67",2020-07-22,4.778,0.52
"68",2020-07-24,5.111,0.529
"69",2020-07-26,5.389,0.538
"70",2020-07-27,5.278,0.547
"71",2020-07-29,5.333,0.537
"72",2020-07-30,5,0.545
"73",2020-07-31,4.944,0.536
"74",2020-08-01,4.944,0.526
"75",2020-08-05,5,0.517
"76",2020-08-06,4.833,0.508
"77",2020-08-09,4.611,0.517
"78",2020-08-11,4.833,0.508
"79",2020-08-12,4.778,0.516
"80",2020-08-14,4.944,0.524
"81",2020-08-15,4.667,0.531
"82",2020-08-16,4.667,0.523
"83",2020-08-18,4.778,0.515
"84",2020-08-19,5.5,0.507
"85",2020-08-20,5.556,0.5
"86",2020-08-21,5.222,0.493
"87",2020-08-23,5,0.493
"88",2020-08-24,4.833,0.5
"89",2020-08-25,5.056,0.493
"90",2020-08-26,5.333,0.5
"91",2020-08-27,5.278,0.493
"92",2020-08-29,5.389,0.5
"93",2020-08-30,5.222,0.493
"94",2020-09-01,5.167,0.487
"95",2020-09-03,5.167,0.494
"96",2020-09-04,5,0.487
"97",2020-09-05,5.111,0.481
"98",2020-09-06,4.944,0.475
"99",2020-09-08,4.944,0.481
"100",2020-09-09,5.056,0.476
"101",2020-09-10,5.111,0.47
"102",2020-09-11,4.056,0.464
"103",2020-09-12,4.167,0.471
"104",2020-09-13,4.389,0.477
"105",2020-09-15,4.444,0.483
"106",2020-09-16,4.889,0.477
"107",2020-09-17,4.556,0.472
"108",2020-09-18,4.222,0.478
"109",2020-09-19,4.556,0.473
"110",2020-09-20,4.222,0.467
