"","GDAY_DS","ER","WLS"
"1",2020-05-05,0,1
"2",2020-05-06,1,1
"3",2020-05-07,3.333,0.667
"4",2020-05-08,3.25,0.75
"5",2020-05-09,3.2,0.8
"6",2020-05-10,3.167,0.833
"7",2020-05-12,2.714,0.857
"8",2020-05-13,2.75,0.75
"9",2020-05-14,3.333,0.667
"10",2020-05-16,3.3,0.6
"11",2020-05-16,3.455,0.545
"12",2020-05-17,3.5,0.583
"13",2020-05-19,3.615,0.615
"14",2020-05-20,3.643,0.571
"15",2020-05-21,3.933,0.6
"16",2020-05-22,4.188,0.562
"17",2020-05-23,4.118,0.588
"18",2020-05-24,4,0.556
"19",2020-05-26,4.389,1
"20",2020-05-27,4.778,0.667
"21",2020-05-28,4.833,0.75
"22",2020-05-29,4.667,0.8
"23",2020-05-30,4.667,0.833
"24",2020-05-31,5.167,0.857
"25",2020-06-02,5.278,0.75
"26",2020-06-03,5.222,0.667
"27",2020-06-04,4.944,0.6
"28",2020-06-05,4.944,0.545
"29",2020-06-06,4.889,0.583
"30",2020-06-07,5,0.615
"31",2020-06-09,4.889,0.571
"32",2020-06-10,4.778,0.6
"33",2020-06-11,4.667,0.562
"34",2020-06-12,4.333,0.588
"35",2020-06-13,4.444,0.556
"36",2020-06-14,4.833,0.526
"37",2020-06-16,4.722,0.5
"38",2020-06-17,4.389,0.476
"39",2020-06-18,3.944,0.5
"40",2020-06-19,4,0.522
"41",2020-06-20,3.944,0.5
"42",2020-06-21,3.389,0.52
"43",2020-06-23,3.444,0.538
"44",2020-06-25,3.444,0.556
"45",2020-06-25,3.556,0.571
"46",2020-06-26,3.833,0.586
"47",2020-06-27,3.611,0.567
"48",2020-06-28,3.278,0.581
"49",2020-06-30,3.222,0.562
"50",2020-07-01,3.889,0.545
"51",2020-07-02,3.889,0.559
"52",2020-07-03,3.833,0.571
"53",2020-07-04,3.889,0.556
"54",2020-07-05,3.944,0.541
"55",2020-07-07,4.222,0.553
"56",2020-07-08,4.389,0.564
"57",2020-07-09,4.444,0.575
"58",2020-07-10,4.889,0.585
"59",2020-07-11,5.222,0.595
"60",2020-07-13,5.833,0.605
"61",2020-07-14,5.722,0.614
"62",2020-07-15,5.833,0.622
"63",2020-07-16,6.056,0.609
"64",2020-07-17,6.222,0.617
"65",2020-07-18,6.278,0.625
"66",2020-07-19,6.5,0.633
"67",2020-07-21,6.889,0.62
"68",2020-07-22,6.222,0.627
"69",2020-07-24,6.278,0.615
"70",2020-07-26,6.611,0.623
"71",2020-07-27,6.556,0.611
"72",2020-07-29,6.389,0.6
"73",2020-07-30,5.889,0.607
"74",2020-07-31,5.611,0.614
"75",2020-08-01,5.889,0.603
"76",2020-08-05,5.667,0.593
"77",2020-08-06,5.444,0.583
"78",2020-08-09,5.056,0.59
"79",2020-08-11,5.222,0.597
"80",2020-08-12,5.167,0.587
"81",2020-08-14,5.222,0.578
"82",2020-08-15,4.722,0.585
"83",2020-08-16,4.778,0.576
"84",2020-08-18,4.778,0.567
"85",2020-08-19,5.5,0.559
"86",2020-08-20,5.556,0.551
"87",2020-08-21,5.222,0.543
"88",2020-08-23,5,0.543
"89",2020-08-24,4.833,0.549
"90",2020-08-25,5.056,0.542
"91",2020-08-26,5.333,0.548
"92",2020-08-27,5.278,0.541
"93",2020-08-29,5.389,0.547
"94",2020-08-30,5.222,0.539
"95",2020-09-01,5.167,0.532
"96",2020-09-03,5.167,0.538
"97",2020-09-04,5,0.532
"98",2020-09-05,5.111,0.525
"99",2020-09-06,4.944,0.519
"100",2020-09-08,4.944,0.524
"101",2020-09-09,5.056,0.518
"102",2020-09-10,5.111,0.512
"103",2020-09-11,4.056,0.506
"104",2020-09-12,4.167,0.512
"105",2020-09-13,4.389,0.517
"106",2020-09-15,4.444,0.523
"107",2020-09-16,4.889,0.517
"108",2020-09-17,4.556,0.511
"109",2020-09-18,4.222,0.516
"110",2020-09-19,4.556,0.511
"111",2020-09-20,4.222,0.505
