"","GDAY_DS","T_ID","ER","WLS"
"1",20200505,"HT",11,0
"2",20200506,"HT",2,0
"3",20200507,"HT",5,0.33
"4",20200508,"HT",4,0.25
"5",20200509,"HT",13,0.2
"6",20200510,"HT",3,0.33
"7",20200512,"HT",1,0.43
"8",20200513,"HT",3,0.5
"9",20200514,"HT",4,0.44
"10",20200515,"HT",7,0.4
"11",20200516,"HT",4,0.45
"12",20200517,"HT",5,0.42
"13",20200519,"HT",2,0.46
"14",20200520,"HT",0,0.5
"15",20200521,"HT",1,0.53
"16",20200522,"HT",0,0.56
"17",20200523,"HT",3,0.59
"18",20200524,"HT",2,0.56
"19",20200526,"HT",0,0
"20",20200527,"HT",5,0.33
"21",20200528,"HT",6,0.25
"22",20200529,"HT",6,0.2
"23",20200530,"HT",5,0.33
"24",20200531,"HT",13,0.43
"25",20200602,"HT",2,0.5
"26",20200603,"HT",2,0.44
"27",20200604,"HT",3,0.4
"28",20200605,"HT",5,0.45
"29",20200606,"HT",2,0.42
"30",20200607,"HT",3,0.46
"31",20200609,"HT",2,0.5
"32",20200610,"HT",0,0.53
"33",20200611,"HT",12,0.56
"34",20200612,"HT",3,0.59
"35",20200613,"HT",0,0.56
"36",20200614,"HT",4,0.58
"37",20200616,"HT",4,0.55
"38",20200617,"HT",4,0.52
"39",20200619,"HT",4,0.5
"40",20200620,"HT",3,0.52
"41",20200621,"HT",11,0.5
"42",20200623,"HT",4,0.52
"43",20200626,"HT",5,0.54
"44",20200627,"HT",2,0.56
"45",20200628,"HT",1,0.54
"46",20200701,"HT",3,0.52
"47",20200702,"HT",1,0.5
"48",20200703,"HT",2,0.52
"49",20200704,"HT",9,0.53
"50",20200705,"HT",7,0.52
"51",20200707,"HT",6,0.53
"52",20200708,"HT",7,0.54
"53",20200709,"HT",3,0.53
"54",20200710,"HT",7,0.54
"55",20200711,"HT",3,0.55
"56",20200713,"HT",3,0.56
"57",20200714,"HT",5,0.58
"58",20200715,"HT",2,0.56
"59",20200716,"HT",8,0.55
"60",20200717,"HT",2,0.56
"61",20200718,"HT",6,0.55
"62",20200719,"HT",8,0.53
