"","GDAY_DS","T_ID","ER","WLS"
"1",20200505,"KT",7,0
"2",20200506,"KT",8,0
"3",20200507,"KT",7.33,0
"4",20200508,"KT",6.25,0.25
"5",20200510,"KT",7.4,0.2
"6",20200512,"KT",7.33,0.17
"7",20200513,"KT",6.86,0.14
"8",20200514,"KT",6.12,0.12
"9",20200515,"KT",5.78,0.22
"10",20200516,"KT",5.5,0.3
"11",20200517,"KT",5.09,0.36
"12",20200519,"KT",5.58,0.42
"13",20200520,"KT",5.23,0.46
"14",20200521,"KT",5.5,0.43
"15",20200522,"KT",5.47,0.4
"16",20200523,"KT",5.25,0.44
"17",20200524,"KT",5.47,0.41
"18",20200526,"KT",5.39,0.39
"19",20200527,"KT",5,0
"20",20200528,"KT",4.78,0
"21",20200529,"KT",4.67,0.25
"22",20200530,"KT",5.28,0.2
"23",20200531,"KT",5,0.17
"24",20200602,"KT",5.22,0.14
"25",20200603,"KT",5.11,0.12
"26",20200604,"KT",5.83,0.22
"27",20200605,"KT",6,0.3
"28",20200606,"KT",5.89,0.36
"29",20200607,"KT",6.11,0.42
"30",20200609,"KT",5.67,0.46
"31",20200610,"KT",6.06,0.43
"32",20200611,"KT",6,0.4
"33",20200613,"KT",6,0.44
"34",20200613,"KT",6.11,0.41
"35",20200614,"KT",6.28,0.39
"36",20200616,"KT",6.33,0.42
"37",20200617,"KT",6.56,0.45
"38",20200618,"KT",6.44,0.43
"39",20200619,"KT",6.67,0.41
"40",20200620,"KT",6.33,0.43
"41",20200621,"KT",6.06,0.42
"42",20200623,"KT",5.67,0.44
"43",20200625,"KT",5.72,0.42
"44",20200625,"KT",5.06,0.41
"45",20200626,"KT",5.06,0.39
"46",20200627,"KT",5.11,0.38
"47",20200628,"KT",5.06,0.37
"48",20200630,"KT",5.11,0.35
"49",20200701,"KT",4.94,0.38
"50",20200702,"KT",4.67,0.36
"51",20200703,"KT",4.5,0.38
"52",20200704,"KT",4.83,0.37
"53",20200705,"KT",4.44,0.39
"54",20200707,"KT",4.28,0.41
"55",20200708,"KT",4.28,0.42
"56",20200709,"KT",4.67,0.44
"57",20200710,"KT",4.39,0.42
"58",20200711,"KT",4.28,0.44
"59",20200714,"KT",4.28,0.43
"60",20200715,"KT",4.44,0.42
"61",20200716,"KT",4.33,0.43
"62",20200717,"KT",4.39,0.42
"63",20200718,"KT",4.39,0.43
"64",20200719,"KT",4.72,0.45
