"","GDAY_DS","T_ID","ER","WLS"
"1",20200505,"LG",2,1
"2",20200506,"LG",3.5,0.5
"3",20200507,"LG",4.33,0.33
"4",20200508,"LG",6.5,0.25
"5",20200510,"LG",6.6,0.4
"6",20200512,"LG",6.33,0.5
"7",20200513,"LG",5.71,0.57
"8",20200514,"LG",5.25,0.62
"9",20200516,"LG",4.78,0.67
"10",20200516,"LG",4.6,0.7
"11",20200517,"LG",5,0.64
"12",20200519,"LG",5.08,0.67
"13",20200520,"LG",4.85,0.62
"14",20200521,"LG",4.5,0.64
"15",20200522,"LG",4.53,0.67
"16",20200523,"LG",4.62,0.62
"17",20200524,"LG",4.59,0.65
"18",20200526,"LG",4.33,0.67
"19",20200527,"LG",4.44,0.5
"20",20200528,"LG",4.17,0.33
"21",20200529,"LG",3.94,0.25
"22",20200530,"LG",3.5,0.4
"23",20200531,"LG",3.39,0.5
"24",20200602,"LG",3.22,0.57
"25",20200603,"LG",3.72,0.62
"26",20200604,"LG",3.61,0.67
"27",20200605,"LG",3.89,0.7
"28",20200606,"LG",4,0.64
"29",20200607,"LG",3.56,0.67
"30",20200609,"LG",3.5,0.62
"31",20200611,"LG",3.44,0.64
"32",20200611,"LG",3.61,0.67
"33",20200612,"LG",3.44,0.62
"34",20200613,"LG",3.44,0.65
"35",20200614,"LG",3.56,0.67
"36",20200616,"LG",3.83,0.68
"37",20200617,"LG",3.67,0.7
"38",20200618,"LG",4,0.71
"39",20200619,"LG",4.89,0.68
"40",20200620,"LG",5.06,0.7
"41",20200621,"LG",4.94,0.67
"42",20200623,"LG",5.22,0.64
"43",20200625,"LG",4.89,0.65
"44",20200625,"LG",5.33,0.63
"45",20200626,"LG",5.33,0.61
"46",20200627,"LG",5.06,0.62
"47",20200628,"LG",5,0.6
"48",20200630,"LG",4.89,0.61
"49",20200701,"LG",5.39,0.62
"50",20200702,"LG",5.44,0.64
"51",20200703,"LG",5.56,0.62
"52",20200704,"LG",5.61,0.63
"53",20200705,"LG",5.44,0.64
"54",20200707,"LG",5.61,0.65
"55",20200708,"LG",5.83,0.66
"56",20200709,"LG",5.83,0.64
"57",20200710,"LG",5.5,0.62
"58",20200711,"LG",5.33,0.61
"59",20200714,"LG",5.39,0.6
"60",20200715,"LG",5.17,0.58
"61",20200716,"LG",5.33,0.57
"62",20200717,"LG",4.89,0.56
"63",20200718,"LG",4.61,0.57
"64",20200719,"LG",4.72,0.57
