"","GDAY_DS","T_ID","ER","WLS"
"1",20200505,"LT",2,1
"2",20200506,"LT",2.5,1
"3",20200507,"LT",2.67,1
"4",20200508,"LT",4,1
"5",20200510,"LT",3.2,1
"6",20200512,"LT",4.5,0.83
"7",20200513,"LT",5.14,0.86
"8",20200514,"LT",5.12,0.75
"9",20200515,"LT",4.78,0.67
"10",20200516,"LT",4.4,0.7
"11",20200517,"LT",4.18,0.64
"12",20200519,"LT",4.58,0.58
"13",20200520,"LT",4.69,0.54
"14",20200521,"LT",4.79,0.5
"15",20200522,"LT",4.93,0.53
"16",20200523,"LT",5.38,0.5
"17",20200524,"LT",5.06,0.53
"18",20200526,"LT",4.78,0.56
"19",20200527,"LT",5.28,1
"20",20200528,"LT",5.28,1
"21",20200529,"LT",5.33,1
"22",20200530,"LT",5.11,1
"23",20200531,"LT",5.28,0.83
"24",20200602,"LT",5.06,0.86
"25",20200603,"LT",5.17,0.75
"26",20200604,"LT",5.28,0.67
"27",20200605,"LT",5.39,0.7
"28",20200606,"LT",5.33,0.64
"29",20200607,"LT",5.33,0.58
"30",20200609,"LT",5,0.54
"31",20200610,"LT",4.72,0.5
"32",20200611,"LT",4.39,0.53
"33",20200612,"LT",4.11,0.5
"34",20200613,"LT",3.78,0.53
"35",20200614,"LT",4.33,0.56
"36",20200616,"LT",4.56,0.53
"37",20200617,"LT",4.17,0.5
"38",20200618,"LT",4.17,0.48
"39",20200619,"LT",4.44,0.45
"40",20200620,"LT",4.22,0.48
"41",20200621,"LT",4.22,0.46
"42",20200623,"LT",4,0.44
"43",20200626,"LT",3.72,0.42
"44",20200627,"LT",3.67,0.44
"45",20200628,"LT",3.61,0.46
"46",20200630,"LT",4.06,0.48
"47",20200701,"LT",4.22,0.5
"48",20200702,"LT",4.39,0.52
"49",20200703,"LT",4.61,0.53
"50",20200704,"LT",4.83,0.52
"51",20200705,"LT",5.06,0.53
"52",20200707,"LT",5,0.51
"53",20200708,"LT",4.56,0.53
"54",20200709,"LT",4.39,0.51
"55",20200710,"LT",4.56,0.5
"56",20200711,"LT",4.39,0.49
"57",20200714,"LT",3.89,0.5
"58",20200715,"LT",4.39,0.49
"59",20200716,"LT",4.78,0.5
"60",20200717,"LT",5.44,0.49
"61",20200718,"LT",5.39,0.48
"62",20200719,"LT",5.11,0.49
