"","GDAY_DS","T_ID","ER","WLS"
"1",20200505,"NC",0,1
"2",20200506,"NC",1.5,1
"3",20200507,"NC",1.67,1
"4",20200508,"NC",2.5,1
"5",20200510,"NC",4,0.8
"6",20200512,"NC",4.33,0.83
"7",20200513,"NC",4.14,0.86
"8",20200514,"NC",3.62,0.88
"9",20200515,"NC",3.44,0.89
"10",20200516,"NC",3.2,0.9
"11",20200517,"NC",3.36,0.91
"12",20200519,"NC",3.42,0.92
"13",20200520,"NC",3.31,0.85
"14",20200521,"NC",3.5,0.86
"15",20200522,"NC",3.47,0.8
"16",20200523,"NC",3.25,0.81
"17",20200524,"NC",3.35,0.82
"18",20200526,"NC",3.28,0.83
"19",20200527,"NC",3.44,1
"20",20200528,"NC",3.61,1
"21",20200529,"NC",3.72,1
"22",20200530,"NC",3.94,0.8
"23",20200531,"NC",3.72,0.83
"24",20200602,"NC",3.78,0.86
"25",20200603,"NC",3.89,0.88
"26",20200604,"NC",3.89,0.89
"27",20200605,"NC",3.89,0.9
"28",20200606,"NC",3.94,0.91
"29",20200607,"NC",3.78,0.92
"30",20200609,"NC",4,0.85
"31",20200610,"NC",4.39,0.86
"32",20200611,"NC",4.33,0.8
"33",20200612,"NC",4.28,0.81
"34",20200613,"NC",5.22,0.82
"35",20200614,"NC",5.22,0.83
"36",20200616,"NC",5.5,0.84
"37",20200617,"NC",5.72,0.85
"38",20200619,"NC",5.44,0.81
"39",20200620,"NC",5.44,0.77
"40",20200621,"NC",5.33,0.78
"41",20200623,"NC",5.17,0.75
"42",20200625,"NC",4.83,0.76
"43",20200625,"NC",5.44,0.77
"44",20200626,"NC",5.61,0.78
"45",20200627,"NC",6.17,0.79
"46",20200628,"NC",6.06,0.79
"47",20200630,"NC",6.44,0.8
"48",20200701,"NC",6.11,0.77
"49",20200702,"NC",6,0.78
"50",20200703,"NC",6.17,0.76
"51",20200704,"NC",6.17,0.74
"52",20200705,"NC",5.56,0.74
"53",20200707,"NC",5.5,0.72
"54",20200708,"NC",5.28,0.7
"55",20200709,"NC",5,0.71
"56",20200710,"NC",5.06,0.69
"57",20200711,"NC",5.17,0.7
"58",20200714,"NC",5.06,0.71
"59",20200715,"NC",5.28,0.71
"60",20200716,"NC",5.28,0.7
"61",20200717,"NC",4.56,0.7
"62",20200718,"NC",4.44,0.69
"63",20200719,"NC",3.89,0.7
