"","GDAY_DS","T_ID","ER","WLS"
"1",20200505,"OB",8,0
"2",20200506,"OB",4.5,0.5
"3",20200507,"OB",4,0.67
"4",20200508,"OB",6,0.5
"5",20200510,"OB",7.2,0.6
"6",20200512,"OB",7,0.67
"7",20200513,"OB",7,0.57
"8",20200514,"OB",6.62,0.62
"9",20200515,"OB",5.89,0.67
"10",20200516,"OB",6.6,0.6
"11",20200517,"OB",6.18,0.64
"12",20200519,"OB",6.08,0.58
"13",20200520,"OB",5.69,0.62
"14",20200521,"OB",6.14,0.57
"15",20200522,"OB",6.2,0.6
"16",20200523,"OB",6.12,0.62
"17",20200524,"OB",6.53,0.59
"18",20200526,"OB",6.39,0.61
"19",20200527,"OB",6.06,0.5
"20",20200528,"OB",6.33,0.67
"21",20200529,"OB",6.28,0.5
"22",20200530,"OB",5.83,0.6
"23",20200531,"OB",5.28,0.67
"24",20200602,"OB",5.33,0.57
"25",20200603,"OB",5.17,0.62
"26",20200604,"OB",5.39,0.67
"27",20200605,"OB",5.39,0.6
"28",20200606,"OB",4.83,0.64
"29",20200607,"OB",4.83,0.58
"30",20200609,"OB",5.22,0.62
"31",20200610,"OB",5.22,0.57
"32",20200611,"OB",4.94,0.6
"33",20200612,"OB",4.61,0.62
"34",20200613,"OB",4.72,0.59
"35",20200614,"OB",4.17,0.61
"36",20200616,"OB",4.11,0.63
"37",20200617,"OB",4.33,0.6
"38",20200618,"OB",4.06,0.62
"39",20200619,"OB",4.44,0.64
"40",20200620,"OB",4.33,0.61
"41",20200621,"OB",4.28,0.62
"42",20200623,"OB",4,0.6
"43",20200625,"OB",4.11,0.62
"44",20200625,"OB",4,0.63
"45",20200626,"OB",4.44,0.64
"46",20200627,"OB",4.44,0.66
"47",20200628,"OB",4.61,0.63
"48",20200630,"OB",4.5,0.65
"49",20200701,"OB",4.61,0.62
"50",20200702,"OB",4.78,0.64
"51",20200703,"OB",4.78,0.62
"52",20200704,"OB",4.72,0.6
"53",20200705,"OB",4.78,0.58
"54",20200707,"OB",4.94,0.57
"55",20200708,"OB",5.06,0.58
"56",20200709,"OB",5,0.59
"57",20200710,"OB",4.78,0.6
"58",20200711,"OB",4.89,0.61
"59",20200714,"OB",5.44,0.62
"60",20200715,"OB",5.44,0.63
"61",20200716,"OB",5.17,0.61
"62",20200717,"OB",5,0.6
"63",20200718,"OB",4.56,0.61
"64",20200719,"OB",4.61,0.6
