"","GDAY_DS","T_ID","ER","WLS"
"1",20200505,"SK",3,0
"2",20200506,"SK",2.5,0.5
"3",20200507,"SK",4.33,0.33
"4",20200508,"SK",5.5,0.25
"5",20200510,"SK",5.2,0.2
"6",20200512,"SK",5.33,0.17
"7",20200513,"SK",5.57,0.14
"8",20200514,"SK",5.25,0.12
"9",20200515,"SK",5.33,0.11
"10",20200516,"SK",5,0.1
"11",20200517,"SK",5.55,0.09
"12",20200519,"SK",5.92,0.08
"13",20200520,"SK",5.69,0.15
"14",20200521,"SK",5.79,0.14
"15",20200522,"SK",5.53,0.13
"16",20200523,"SK",5.69,0.12
"17",20200524,"SK",5.41,0.18
"18",20200526,"SK",5.17,0.17
"19",20200527,"SK",5.22,0.5
"20",20200528,"SK",5.17,0.33
"21",20200529,"SK",5.06,0.25
"22",20200530,"SK",4.72,0.2
"23",20200531,"SK",4.67,0.17
"24",20200602,"SK",4.39,0.14
"25",20200603,"SK",4.44,0.12
"26",20200604,"SK",4.83,0.11
"27",20200605,"SK",4.56,0.1
"28",20200606,"SK",4.67,0.09
"29",20200607,"SK",4.22,0.08
"30",20200609,"SK",3.78,0.15
"31",20200611,"SK",3.78,0.14
"32",20200611,"SK",3.61,0.13
"33",20200612,"SK",3.83,0.12
"34",20200613,"SK",3.5,0.18
"35",20200614,"SK",3.61,0.17
"36",20200616,"SK",3.83,0.16
"37",20200617,"SK",3.89,0.2
"38",20200618,"SK",4.11,0.24
"39",20200619,"SK",3.89,0.27
"40",20200620,"SK",4.22,0.3
"41",20200621,"SK",4.44,0.33
"42",20200623,"SK",4.83,0.32
"43",20200625,"SK",5.17,0.31
"44",20200625,"SK",4.61,0.33
"45",20200626,"SK",4.56,0.36
"46",20200627,"SK",4.44,0.34
"47",20200628,"SK",4.44,0.37
"48",20200630,"SK",4.56,0.35
"49",20200701,"SK",4.67,0.34
"50",20200702,"SK",4.78,0.33
"51",20200703,"SK",4.67,0.32
"52",20200704,"SK",5.06,0.34
"53",20200705,"SK",5.06,0.33
"54",20200707,"SK",5.06,0.32
"55",20200708,"SK",4.89,0.32
"56",20200709,"SK",5.06,0.31
"57",20200710,"SK",5.11,0.3
"58",20200711,"SK",4.78,0.29
"59",20200713,"SK",4.61,0.29
"60",20200714,"SK",4.56,0.28
"61",20200715,"SK",4.17,0.3
"62",20200716,"SK",4.39,0.31
"63",20200717,"SK",4.89,0.3
"64",20200718,"SK",5,0.3
"65",20200719,"SK",5,0.29
