"","GDAY_DS","T_ID","ER","WLS"
"1",20200505,"SS",4,0
"2",20200506,"SS",4,0
"3",20200507,"SS",5,0
"4",20200508,"SS",3.75,0.25
"5",20200509,"SS",3.4,0.4
"6",20200510,"SS",4.17,0.33
"7",20200512,"SS",3.86,0.29
"8",20200513,"SS",3.38,0.38
"9",20200514,"SS",3.56,0.44
"10",20200515,"SS",4.2,0.4
"11",20200516,"SS",4.64,0.36
"12",20200517,"SS",4.83,0.33
"13",20200519,"SS",5.23,0.31
"14",20200520,"SS",4.93,0.36
"15",20200521,"SS",4.73,0.33
"16",20200522,"SS",5.12,0.31
"17",20200523,"SS",5.41,0.29
"18",20200524,"SS",5.11,0.33
"19",20200526,"SS",4.94,0
"20",20200527,"SS",4.72,0
"21",20200528,"SS",4.39,0.25
"22",20200529,"SS",4.61,0.4
"23",20200530,"SS",4.56,0.33
"24",20200531,"SS",4.72,0.29
"25",20200602,"SS",4.61,0.38
"26",20200603,"SS",4.94,0.44
"27",20200604,"SS",5.11,0.4
"28",20200605,"SS",4.78,0.36
"29",20200606,"SS",4.61,0.33
"30",20200607,"SS",4.22,0.31
"31",20200609,"SS",3.94,0.36
"32",20200610,"SS",3.94,0.33
"33",20200611,"SS",4,0.31
"34",20200613,"SS",3.56,0.29
"35",20200613,"SS",3.39,0.33
"36",20200614,"SS",3.39,0.32
"37",20200616,"SS",3.44,0.35
"38",20200617,"SS",3.61,0.38
"39",20200618,"SS",3.94,0.41
"40",20200619,"SS",3.89,0.43
"41",20200620,"SS",4.17,0.42
"42",20200621,"SS",3.78,0.44
"43",20200623,"SS",4,0.46
"44",20200624,"SS",3.78,0.44
"45",20200625,"SS",3.83,0.43
"46",20200626,"SS",3.83,0.41
"47",20200627,"SS",3.56,0.43
"48",20200628,"SS",3.94,0.42
"49",20200630,"SS",3.72,0.44
"50",20200701,"SS",3.72,0.45
"51",20200702,"SS",3.67,0.47
"52",20200703,"SS",3.89,0.46
"53",20200704,"SS",3.83,0.47
"54",20200705,"SS",4.22,0.49
"55",20200707,"SS",4.22,0.5
"56",20200708,"SS",4.44,0.49
"57",20200709,"SS",4.28,0.48
"58",20200710,"SS",4.5,0.46
"59",20200711,"SS",4.72,0.48
"60",20200714,"SS",4.5,0.49
"61",20200715,"SS",4.5,0.5
"62",20200716,"SS",4.78,0.49
"63",20200717,"SS",4.67,0.5
"64",20200718,"SS",4.56,0.51
"65",20200719,"SS",4.61,0.5
