"","GDAY_DS","T_ID","ER","WLS"
"1",20200505,"WO",0,1
"2",20200506,"WO",1,1
"3",20200507,"WO",3.33,0.67
"4",20200508,"WO",3.25,0.75
"5",20200509,"WO",3.2,0.8
"6",20200510,"WO",3.17,0.83
"7",20200512,"WO",2.71,0.86
"8",20200513,"WO",2.75,0.75
"9",20200514,"WO",3.33,0.67
"10",20200516,"WO",3.3,0.6
"11",20200516,"WO",3.45,0.55
"12",20200517,"WO",3.5,0.58
"13",20200519,"WO",3.62,0.62
"14",20200520,"WO",3.64,0.57
"15",20200521,"WO",3.93,0.6
"16",20200522,"WO",4.19,0.56
"17",20200523,"WO",4.12,0.59
"18",20200524,"WO",4,0.56
"19",20200526,"WO",4.39,1
"20",20200527,"WO",4.78,0.67
"21",20200528,"WO",4.83,0.75
"22",20200529,"WO",4.67,0.8
"23",20200530,"WO",4.67,0.83
"24",20200531,"WO",5.17,0.86
"25",20200602,"WO",5.28,0.75
"26",20200603,"WO",5.22,0.67
"27",20200604,"WO",4.94,0.6
"28",20200605,"WO",4.94,0.55
"29",20200606,"WO",4.89,0.58
"30",20200607,"WO",5,0.62
"31",20200609,"WO",4.89,0.57
"32",20200610,"WO",4.78,0.6
"33",20200611,"WO",4.67,0.56
"34",20200612,"WO",4.33,0.59
"35",20200613,"WO",4.44,0.56
"36",20200614,"WO",4.83,0.53
"37",20200616,"WO",4.72,0.5
"38",20200617,"WO",4.39,0.48
"39",20200618,"WO",3.94,0.5
"40",20200619,"WO",4,0.52
"41",20200620,"WO",3.94,0.5
"42",20200621,"WO",3.39,0.52
"43",20200623,"WO",3.44,0.54
"44",20200625,"WO",3.44,0.56
"45",20200625,"WO",3.56,0.57
"46",20200626,"WO",3.83,0.59
"47",20200627,"WO",3.61,0.57
"48",20200628,"WO",3.28,0.58
"49",20200630,"WO",3.22,0.56
"50",20200701,"WO",3.89,0.55
"51",20200702,"WO",3.89,0.56
"52",20200703,"WO",3.83,0.57
"53",20200704,"WO",3.89,0.56
"54",20200705,"WO",3.94,0.54
"55",20200707,"WO",4.22,0.55
"56",20200708,"WO",4.39,0.56
"57",20200709,"WO",4.44,0.58
"58",20200710,"WO",4.89,0.59
"59",20200711,"WO",5.22,0.6
"60",20200713,"WO",5.83,0.6
"61",20200714,"WO",5.72,0.61
"62",20200715,"WO",5.83,0.62
"63",20200716,"WO",6.06,0.61
"64",20200717,"WO",6.22,0.62
"65",20200718,"WO",6.28,0.62
"66",20200719,"WO",6.5,0.63
