,Unnamed: 0,GDAY_DS,T_ID,BA
0,1,2020-05-05,HH,0.35
1,2,2020-05-06,HH,0.29
2,3,2020-05-07,HH,0.32
3,4,2020-05-08,HH,0.3
4,5,2020-05-09,HH,0.32
5,6,2020-05-10,HH,0.33
6,7,2020-05-12,HH,0.32
7,8,2020-05-13,HH,0.32
8,9,2020-05-14,HH,0.32
9,10,2020-05-15,HH,0.33
10,11,2020-05-16,HH,0.33
11,12,2020-05-17,HH,0.32
12,13,2020-05-19,HH,0.32
13,14,2020-05-20,HH,0.32
14,15,2020-05-21,HH,0.32
15,16,2020-05-22,HH,0.32
16,17,2020-05-23,HH,0.32
17,18,2020-05-24,HH,0.32
18,19,2020-05-26,HH,0.31
19,20,2020-05-27,HH,0.32
20,21,2020-05-28,HH,0.31
21,22,2020-05-29,HH,0.32
22,23,2020-05-30,HH,0.3
23,24,2020-05-31,HH,0.29
24,25,2020-06-02,HH,0.29
25,26,2020-06-03,HH,0.29
26,27,2020-06-04,HH,0.28
27,28,2020-06-05,HH,0.27
28,29,2020-06-06,HH,0.27
29,30,2020-06-07,HH,0.27
30,31,2020-06-09,HH,0.27
31,32,2020-06-10,HH,0.27
32,33,2020-06-11,HH,0.26
33,34,2020-06-12,HH,0.25
34,35,2020-06-13,HH,0.25
35,36,2020-06-14,HH,0.25
36,37,2020-06-16,HH,0.27
37,38,2020-06-17,HH,0.26
38,39,2020-06-18,HH,0.26
39,40,2020-06-19,HH,0.25
40,41,2020-06-20,HH,0.27
41,42,2020-06-21,HH,0.27
42,43,2020-06-23,HH,0.28
43,44,2020-06-24,HH,0.28
44,45,2020-06-25,HH,0.29
45,46,2020-06-26,HH,0.3
46,47,2020-06-27,HH,0.3
47,48,2020-06-28,HH,0.3
48,49,2020-07-01,HH,0.31
49,50,2020-07-02,HH,0.31
50,51,2020-07-03,HH,0.31
51,52,2020-07-04,HH,0.33
52,53,2020-07-05,HH,0.33
53,54,2020-07-07,HH,0.33
54,55,2020-07-08,HH,0.32
55,56,2020-07-09,HH,0.32
56,57,2020-07-10,HH,0.32
57,58,2020-07-11,HH,0.32
58,59,2020-07-13,HH,0.32
59,60,2020-07-14,HH,0.33
60,61,2020-07-15,HH,0.32
61,62,2020-07-16,HH,0.31
62,63,2020-07-17,HH,0.3
63,64,2020-07-18,HH,0.29
64,65,2020-07-19,HH,0.3
