,Unnamed: 0,GDAY_DS,T_ID,BA
0,1,2020-05-05,HT,0.22
1,2,2020-05-06,HT,0.28
2,3,2020-05-07,HT,0.36
3,4,2020-05-08,HT,0.32
4,5,2020-05-09,HT,0.33
5,6,2020-05-10,HT,0.36
6,7,2020-05-12,HT,0.33
7,8,2020-05-13,HT,0.33
8,9,2020-05-14,HT,0.32
9,10,2020-05-15,HT,0.31
10,11,2020-05-16,HT,0.34
11,12,2020-05-17,HT,0.34
12,13,2020-05-19,HT,0.35
13,14,2020-05-20,HT,0.36
14,15,2020-05-21,HT,0.36
15,16,2020-05-22,HT,0.35
16,17,2020-05-23,HT,0.35
17,18,2020-05-24,HT,0.35
18,19,2020-05-26,HT,0.36
19,20,2020-05-27,HT,0.35
20,21,2020-05-28,HT,0.34
21,22,2020-05-29,HT,0.34
22,23,2020-05-30,HT,0.35
23,24,2020-05-31,HT,0.35
24,25,2020-06-02,HT,0.36
25,26,2020-06-03,HT,0.37
26,27,2020-06-04,HT,0.37
27,28,2020-06-05,HT,0.37
28,29,2020-06-06,HT,0.35
29,30,2020-06-07,HT,0.36
30,31,2020-06-09,HT,0.34
31,32,2020-06-10,HT,0.34
32,33,2020-06-11,HT,0.35
33,34,2020-06-12,HT,0.36
34,35,2020-06-13,HT,0.35
35,36,2020-06-14,HT,0.35
36,37,2020-06-16,HT,0.34
37,38,2020-06-17,HT,0.35
38,39,2020-06-19,HT,0.36
39,40,2020-06-20,HT,0.37
40,41,2020-06-21,HT,0.36
41,42,2020-06-23,HT,0.36
42,43,2020-06-26,HT,0.36
43,44,2020-06-27,HT,0.34
44,45,2020-06-28,HT,0.32
45,46,2020-07-01,HT,0.33
46,47,2020-07-02,HT,0.34
47,48,2020-07-03,HT,0.34
48,49,2020-07-04,HT,0.34
49,50,2020-07-05,HT,0.33
50,51,2020-07-07,HT,0.32
51,52,2020-07-08,HT,0.32
52,53,2020-07-09,HT,0.33
53,54,2020-07-10,HT,0.34
54,55,2020-07-11,HT,0.35
55,56,2020-07-13,HT,0.36
56,57,2020-07-14,HT,0.35
57,58,2020-07-15,HT,0.34
58,59,2020-07-16,HT,0.35
59,60,2020-07-17,HT,0.35
60,61,2020-07-18,HT,0.34
61,62,2020-07-19,HT,0.35
