,Unnamed: 0,GDAY_DS,T_ID,BA
0,1,2020-05-05,KT,0.23
1,2,2020-05-06,KT,0.27
2,3,2020-05-07,KT,0.27
3,4,2020-05-08,KT,0.35
4,5,2020-05-10,KT,0.37
5,6,2020-05-12,KT,0.37
6,7,2020-05-13,KT,0.37
7,8,2020-05-14,KT,0.35
8,9,2020-05-15,KT,0.38
9,10,2020-05-16,KT,0.4
10,11,2020-05-17,KT,0.4
11,12,2020-05-19,KT,0.42
12,13,2020-05-20,KT,0.43
13,14,2020-05-21,KT,0.43
14,15,2020-05-22,KT,0.42
15,16,2020-05-23,KT,0.42
16,17,2020-05-24,KT,0.41
17,18,2020-05-26,KT,0.4
18,19,2020-05-27,KT,0.41
19,20,2020-05-28,KT,0.41
20,21,2020-05-29,KT,0.41
21,22,2020-05-30,KT,0.39
22,23,2020-05-31,KT,0.39
23,24,2020-06-02,KT,0.4
24,25,2020-06-03,KT,0.41
25,26,2020-06-04,KT,0.42
26,27,2020-06-05,KT,0.4
27,28,2020-06-06,KT,0.38
28,29,2020-06-07,KT,0.38
29,30,2020-06-09,KT,0.36
30,31,2020-06-10,KT,0.33
31,32,2020-06-11,KT,0.34
32,33,2020-06-13,KT,0.34
33,34,2020-06-13,KT,0.34
34,35,2020-06-14,KT,0.34
35,36,2020-06-16,KT,0.35
36,37,2020-06-17,KT,0.35
37,38,2020-06-18,KT,0.35
38,39,2020-06-19,KT,0.37
39,40,2020-06-20,KT,0.36
40,41,2020-06-21,KT,0.35
41,42,2020-06-23,KT,0.35
42,43,2020-06-25,KT,0.33
43,44,2020-06-25,KT,0.33
44,45,2020-06-26,KT,0.33
45,46,2020-06-27,KT,0.33
46,47,2020-06-28,KT,0.34
47,48,2020-06-30,KT,0.34
48,49,2020-07-01,KT,0.36
49,50,2020-07-02,KT,0.36
50,51,2020-07-03,KT,0.36
51,52,2020-07-04,KT,0.36
52,53,2020-07-05,KT,0.37
53,54,2020-07-07,KT,0.37
54,55,2020-07-08,KT,0.37
55,56,2020-07-09,KT,0.36
56,57,2020-07-10,KT,0.36
57,58,2020-07-11,KT,0.38
58,59,2020-07-14,KT,0.39
59,60,2020-07-15,KT,0.38
60,61,2020-07-16,KT,0.39
61,62,2020-07-17,KT,0.38
62,63,2020-07-18,KT,0.37
63,64,2020-07-19,KT,0.37
