,Unnamed: 0,GDAY_DS,T_ID,BA
0,1,2020-05-05,LG,0.6
1,2,2020-05-06,LG,0.39
2,3,2020-05-07,LG,0.36
3,4,2020-05-08,LG,0.36
4,5,2020-05-10,LG,0.4
5,6,2020-05-12,LG,0.4
6,7,2020-05-13,LG,0.42
7,8,2020-05-14,LG,0.42
8,9,2020-05-16,LG,0.4
9,10,2020-05-16,LG,0.4
10,11,2020-05-17,LG,0.39
11,12,2020-05-19,LG,0.39
12,13,2020-05-20,LG,0.38
13,14,2020-05-21,LG,0.37
14,15,2020-05-22,LG,0.37
15,16,2020-05-23,LG,0.36
16,17,2020-05-24,LG,0.36
17,18,2020-05-26,LG,0.36
18,19,2020-05-27,LG,0.36
19,20,2020-05-28,LG,0.38
20,21,2020-05-29,LG,0.38
21,22,2020-05-30,LG,0.38
22,23,2020-05-31,LG,0.38
23,24,2020-06-02,LG,0.37
24,25,2020-06-03,LG,0.36
25,26,2020-06-04,LG,0.37
26,27,2020-06-05,LG,0.37
27,28,2020-06-06,LG,0.36
28,29,2020-06-07,LG,0.37
29,30,2020-06-09,LG,0.36
30,31,2020-06-11,LG,0.37
31,32,2020-06-11,LG,0.37
32,33,2020-06-12,LG,0.36
33,34,2020-06-13,LG,0.36
34,35,2020-06-14,LG,0.37
35,36,2020-06-16,LG,0.38
36,37,2020-06-17,LG,0.37
37,38,2020-06-18,LG,0.37
38,39,2020-06-19,LG,0.37
39,40,2020-06-20,LG,0.37
40,41,2020-06-21,LG,0.35
41,42,2020-06-23,LG,0.36
42,43,2020-06-25,LG,0.35
43,44,2020-06-25,LG,0.34
44,45,2020-06-26,LG,0.33
45,46,2020-06-27,LG,0.34
46,47,2020-06-28,LG,0.34
47,48,2020-06-30,LG,0.34
48,49,2020-07-01,LG,0.34
49,50,2020-07-02,LG,0.34
50,51,2020-07-03,LG,0.35
51,52,2020-07-04,LG,0.35
52,53,2020-07-05,LG,0.33
53,54,2020-07-07,LG,0.33
54,55,2020-07-08,LG,0.33
55,56,2020-07-09,LG,0.31
56,57,2020-07-10,LG,0.3
57,58,2020-07-11,LG,0.31
58,59,2020-07-14,LG,0.3
59,60,2020-07-15,LG,0.3
60,61,2020-07-16,LG,0.31
61,62,2020-07-17,LG,0.32
62,63,2020-07-18,LG,0.33
63,64,2020-07-19,LG,0.32
