,Unnamed: 0,GDAY_DS,T_ID,BA
0,1,2020-05-05,LT,0.31
1,2,2020-05-06,LT,0.36
2,3,2020-05-07,LT,0.38
3,4,2020-05-08,LT,0.42
4,5,2020-05-10,LT,0.39
5,6,2020-05-12,LT,0.4
6,7,2020-05-13,LT,0.41
7,8,2020-05-14,LT,0.41
8,9,2020-05-15,LT,0.39
9,10,2020-05-16,LT,0.39
10,11,2020-05-17,LT,0.38
11,12,2020-05-19,LT,0.37
12,13,2020-05-20,LT,0.35
13,14,2020-05-21,LT,0.34
14,15,2020-05-22,LT,0.35
15,16,2020-05-23,LT,0.35
16,17,2020-05-24,LT,0.35
17,18,2020-05-26,LT,0.34
18,19,2020-05-27,LT,0.34
19,20,2020-05-28,LT,0.32
20,21,2020-05-29,LT,0.32
21,22,2020-05-30,LT,0.31
22,23,2020-05-31,LT,0.31
23,24,2020-06-02,LT,0.3
24,25,2020-06-03,LT,0.28
25,26,2020-06-04,LT,0.28
26,27,2020-06-05,LT,0.28
27,28,2020-06-06,LT,0.27
28,29,2020-06-07,LT,0.28
29,30,2020-06-09,LT,0.3
30,31,2020-06-10,LT,0.32
31,32,2020-06-11,LT,0.33
32,33,2020-06-12,LT,0.32
33,34,2020-06-13,LT,0.31
34,35,2020-06-14,LT,0.32
35,36,2020-06-16,LT,0.32
36,37,2020-06-17,LT,0.33
37,38,2020-06-18,LT,0.34
38,39,2020-06-19,LT,0.35
39,40,2020-06-20,LT,0.36
40,41,2020-06-21,LT,0.36
41,42,2020-06-23,LT,0.36
42,43,2020-06-26,LT,0.37
43,44,2020-06-27,LT,0.36
44,45,2020-06-28,LT,0.36
45,46,2020-06-30,LT,0.38
46,47,2020-07-01,LT,0.37
47,48,2020-07-02,LT,0.36
48,49,2020-07-03,LT,0.35
49,50,2020-07-04,LT,0.36
50,51,2020-07-05,LT,0.36
51,52,2020-07-07,LT,0.37
52,53,2020-07-08,LT,0.36
53,54,2020-07-09,LT,0.36
54,55,2020-07-10,LT,0.36
55,56,2020-07-11,LT,0.35
56,57,2020-07-14,LT,0.35
57,58,2020-07-15,LT,0.35
58,59,2020-07-16,LT,0.36
59,60,2020-07-17,LT,0.37
60,61,2020-07-18,LT,0.36
61,62,2020-07-19,LT,0.37
