,Unnamed: 0,GDAY_DS,T_ID,BA
0,1,2020-05-05,NC,0.36
1,2,2020-05-06,NC,0.35
2,3,2020-05-07,NC,0.35
3,4,2020-05-08,NC,0.39
4,5,2020-05-10,NC,0.39
5,6,2020-05-12,NC,0.39
6,7,2020-05-13,NC,0.39
7,8,2020-05-14,NC,0.39
8,9,2020-05-15,NC,0.38
9,10,2020-05-16,NC,0.37
10,11,2020-05-17,NC,0.38
11,12,2020-05-19,NC,0.38
12,13,2020-05-20,NC,0.36
13,14,2020-05-21,NC,0.38
14,15,2020-05-22,NC,0.37
15,16,2020-05-23,NC,0.37
16,17,2020-05-24,NC,0.37
17,18,2020-05-26,NC,0.38
18,19,2020-05-27,NC,0.38
19,20,2020-05-28,NC,0.39
20,21,2020-05-29,NC,0.39
21,22,2020-05-30,NC,0.37
22,23,2020-05-31,NC,0.38
23,24,2020-06-02,NC,0.37
24,25,2020-06-03,NC,0.38
25,26,2020-06-04,NC,0.39
26,27,2020-06-05,NC,0.4
27,28,2020-06-06,NC,0.42
28,29,2020-06-07,NC,0.42
29,30,2020-06-09,NC,0.42
30,31,2020-06-10,NC,0.43
31,32,2020-06-11,NC,0.43
32,33,2020-06-12,NC,0.43
33,34,2020-06-13,NC,0.43
34,35,2020-06-14,NC,0.44
35,36,2020-06-16,NC,0.43
36,37,2020-06-17,NC,0.42
37,38,2020-06-19,NC,0.41
38,39,2020-06-20,NC,0.41
39,40,2020-06-21,NC,0.42
40,41,2020-06-23,NC,0.41
41,42,2020-06-25,NC,0.4
42,43,2020-06-25,NC,0.39
43,44,2020-06-26,NC,0.39
44,45,2020-06-27,NC,0.37
45,46,2020-06-28,NC,0.37
46,47,2020-06-30,NC,0.36
47,48,2020-07-01,NC,0.35
48,49,2020-07-02,NC,0.36
49,50,2020-07-03,NC,0.35
50,51,2020-07-04,NC,0.37
51,52,2020-07-05,NC,0.37
52,53,2020-07-07,NC,0.36
53,54,2020-07-08,NC,0.35
54,55,2020-07-09,NC,0.36
55,56,2020-07-10,NC,0.37
56,57,2020-07-11,NC,0.37
57,58,2020-07-14,NC,0.35
58,59,2020-07-15,NC,0.36
59,60,2020-07-16,NC,0.37
60,61,2020-07-17,NC,0.36
61,62,2020-07-18,NC,0.36
62,63,2020-07-19,NC,0.37
