,Unnamed: 0,GDAY_DS,T_ID,BA
0,1,2020-05-05,OB,0.27
1,2,2020-05-06,OB,0.33
2,3,2020-05-07,OB,0.36
3,4,2020-05-08,OB,0.35
4,5,2020-05-10,OB,0.37
5,6,2020-05-12,OB,0.42
6,7,2020-05-13,OB,0.41
7,8,2020-05-14,OB,0.43
8,9,2020-05-15,OB,0.44
9,10,2020-05-16,OB,0.43
10,11,2020-05-17,OB,0.44
11,12,2020-05-19,OB,0.43
12,13,2020-05-20,OB,0.41
13,14,2020-05-21,OB,0.4
14,15,2020-05-22,OB,0.41
15,16,2020-05-23,OB,0.41
16,17,2020-05-24,OB,0.41
17,18,2020-05-26,OB,0.4
18,19,2020-05-27,OB,0.4
19,20,2020-05-28,OB,0.39
20,21,2020-05-29,OB,0.38
21,22,2020-05-30,OB,0.38
22,23,2020-05-31,OB,0.37
23,24,2020-06-02,OB,0.36
24,25,2020-06-03,OB,0.36
25,26,2020-06-04,OB,0.35
26,27,2020-06-05,OB,0.34
27,28,2020-06-06,OB,0.34
28,29,2020-06-07,OB,0.33
29,30,2020-06-09,OB,0.34
30,31,2020-06-10,OB,0.36
31,32,2020-06-11,OB,0.36
32,33,2020-06-12,OB,0.36
33,34,2020-06-13,OB,0.35
34,35,2020-06-14,OB,0.35
35,36,2020-06-16,OB,0.35
36,37,2020-06-17,OB,0.35
37,38,2020-06-18,OB,0.36
38,39,2020-06-19,OB,0.38
39,40,2020-06-20,OB,0.39
40,41,2020-06-21,OB,0.39
41,42,2020-06-23,OB,0.38
42,43,2020-06-25,OB,0.4
43,44,2020-06-25,OB,0.38
44,45,2020-06-26,OB,0.38
45,46,2020-06-27,OB,0.38
46,47,2020-06-28,OB,0.37
47,48,2020-06-30,OB,0.36
48,49,2020-07-01,OB,0.37
49,50,2020-07-02,OB,0.37
50,51,2020-07-03,OB,0.36
51,52,2020-07-04,OB,0.35
52,53,2020-07-05,OB,0.36
53,54,2020-07-07,OB,0.38
54,55,2020-07-08,OB,0.38
55,56,2020-07-09,OB,0.38
56,57,2020-07-10,OB,0.38
57,58,2020-07-11,OB,0.37
58,59,2020-07-14,OB,0.37
59,60,2020-07-15,OB,0.37
60,61,2020-07-16,OB,0.37
61,62,2020-07-17,OB,0.37
62,63,2020-07-18,OB,0.38
63,64,2020-07-19,OB,0.38
