,Unnamed: 0,GDAY_DS,T_ID,BA
0,1,2020-05-05,SS,0.1
1,2,2020-05-06,SS,0.19
2,3,2020-05-07,SS,0.19
3,4,2020-05-08,SS,0.23
4,5,2020-05-09,SS,0.27
5,6,2020-05-10,SS,0.28
6,7,2020-05-12,SS,0.27
7,8,2020-05-13,SS,0.26
8,9,2020-05-14,SS,0.3
9,10,2020-05-15,SS,0.3
10,11,2020-05-16,SS,0.3
11,12,2020-05-17,SS,0.29
12,13,2020-05-19,SS,0.3
13,14,2020-05-20,SS,0.3
14,15,2020-05-21,SS,0.28
15,16,2020-05-22,SS,0.29
16,17,2020-05-23,SS,0.3
17,18,2020-05-24,SS,0.32
18,19,2020-05-26,SS,0.32
19,20,2020-05-27,SS,0.34
20,21,2020-05-28,SS,0.34
21,22,2020-05-29,SS,0.34
22,23,2020-05-30,SS,0.34
23,24,2020-05-31,SS,0.34
24,25,2020-06-02,SS,0.35
25,26,2020-06-03,SS,0.36
26,27,2020-06-04,SS,0.34
27,28,2020-06-05,SS,0.34
28,29,2020-06-06,SS,0.34
29,30,2020-06-07,SS,0.34
30,31,2020-06-09,SS,0.34
31,32,2020-06-10,SS,0.34
32,33,2020-06-11,SS,0.36
33,34,2020-06-13,SS,0.35
34,35,2020-06-13,SS,0.34
35,36,2020-06-14,SS,0.34
36,37,2020-06-16,SS,0.35
37,38,2020-06-17,SS,0.34
38,39,2020-06-18,SS,0.34
39,40,2020-06-19,SS,0.34
40,41,2020-06-20,SS,0.33
41,42,2020-06-21,SS,0.34
42,43,2020-06-23,SS,0.34
43,44,2020-06-24,SS,0.34
44,45,2020-06-25,SS,0.34
45,46,2020-06-26,SS,0.35
46,47,2020-06-27,SS,0.36
47,48,2020-06-28,SS,0.35
48,49,2020-06-30,SS,0.35
49,50,2020-07-01,SS,0.35
50,51,2020-07-02,SS,0.36
51,52,2020-07-03,SS,0.36
52,53,2020-07-04,SS,0.37
53,54,2020-07-05,SS,0.36
54,55,2020-07-07,SS,0.37
55,56,2020-07-08,SS,0.37
56,57,2020-07-09,SS,0.38
57,58,2020-07-10,SS,0.38
58,59,2020-07-11,SS,0.38
59,60,2020-07-14,SS,0.38
60,61,2020-07-15,SS,0.37
61,62,2020-07-16,SS,0.37
62,63,2020-07-17,SS,0.39
63,64,2020-07-18,SS,0.39
64,65,2020-07-19,SS,0.38
