,Unnamed: 0,GDAY_DS,T_ID,BA
0,1,2020-05-05,WO,0.45
1,2,2020-05-06,WO,0.37
2,3,2020-05-07,WO,0.38
3,4,2020-05-08,WO,0.38
4,5,2020-05-09,WO,0.34
5,6,2020-05-10,WO,0.34
6,7,2020-05-12,WO,0.34
7,8,2020-05-13,WO,0.31
8,9,2020-05-14,WO,0.31
9,10,2020-05-16,WO,0.3
10,11,2020-05-16,WO,0.3
11,12,2020-05-17,WO,0.33
12,13,2020-05-19,WO,0.34
13,14,2020-05-20,WO,0.33
14,15,2020-05-21,WO,0.34
15,16,2020-05-22,WO,0.34
16,17,2020-05-23,WO,0.35
17,18,2020-05-24,WO,0.34
18,19,2020-05-26,WO,0.32
19,20,2020-05-27,WO,0.33
20,21,2020-05-28,WO,0.33
21,22,2020-05-29,WO,0.32
22,23,2020-05-30,WO,0.34
23,24,2020-05-31,WO,0.34
24,25,2020-06-02,WO,0.35
25,26,2020-06-03,WO,0.37
26,27,2020-06-04,WO,0.37
27,28,2020-06-05,WO,0.38
28,29,2020-06-06,WO,0.38
29,30,2020-06-07,WO,0.36
30,31,2020-06-09,WO,0.36
31,32,2020-06-10,WO,0.36
32,33,2020-06-11,WO,0.35
33,34,2020-06-12,WO,0.34
34,35,2020-06-13,WO,0.34
35,36,2020-06-14,WO,0.35
36,37,2020-06-16,WO,0.36
37,38,2020-06-17,WO,0.36
38,39,2020-06-18,WO,0.35
39,40,2020-06-19,WO,0.35
40,41,2020-06-20,WO,0.34
41,42,2020-06-21,WO,0.34
42,43,2020-06-23,WO,0.34
43,44,2020-06-25,WO,0.35
44,45,2020-06-25,WO,0.34
45,46,2020-06-26,WO,0.34
46,47,2020-06-27,WO,0.34
47,48,2020-06-28,WO,0.33
48,49,2020-06-30,WO,0.34
49,50,2020-07-01,WO,0.35
50,51,2020-07-02,WO,0.37
51,52,2020-07-03,WO,0.37
52,53,2020-07-04,WO,0.36
53,54,2020-07-05,WO,0.37
54,55,2020-07-07,WO,0.36
55,56,2020-07-08,WO,0.36
56,57,2020-07-09,WO,0.37
57,58,2020-07-10,WO,0.38
58,59,2020-07-11,WO,0.37
59,60,2020-07-13,WO,0.37
60,61,2020-07-14,WO,0.36
61,62,2020-07-15,WO,0.37
62,63,2020-07-16,WO,0.36
63,64,2020-07-17,WO,0.36
64,65,2020-07-18,WO,0.37
65,66,2020-07-19,WO,0.37
