,Unnamed: 0,GDAY_DS,T_ID,ER,WLS
0,1,2020-05-05,HH,0.0,1.0
1,2,2020-05-06,HH,0.62,0.75
2,3,2020-05-07,HH,1.03,0.72
3,4,2020-05-08,HH,1.33,0.67
4,5,2020-05-09,HH,1.57,0.61
5,6,2020-05-10,HH,1.77,0.57
6,7,2020-05-12,HH,1.92,0.53
7,8,2020-05-13,HH,2.05,0.49
8,9,2020-05-14,HH,2.15,0.47
9,10,2020-05-15,HH,2.23,0.47
10,11,2020-05-16,HH,2.3,0.46
11,12,2020-05-17,HH,2.36,0.45
12,13,2020-05-19,HH,2.42,0.45
13,14,2020-05-20,HH,2.47,0.44
14,15,2020-05-21,HH,2.52,0.44
15,16,2020-05-22,HH,2.57,0.44
16,17,2020-05-23,HH,2.62,0.44
17,18,2020-05-24,HH,2.66,0.44
18,19,2020-05-26,HH,2.87,0.75
19,20,2020-05-27,HH,3.01,0.72
20,21,2020-05-28,HH,3.12,0.67
21,22,2020-05-29,HH,3.22,0.61
22,23,2020-05-30,HH,3.31,0.57
23,24,2020-05-31,HH,3.39,0.53
24,25,2020-06-02,HH,3.47,0.49
25,26,2020-06-03,HH,3.55,0.47
26,27,2020-06-04,HH,3.65,0.47
27,28,2020-06-05,HH,3.75,0.46
28,29,2020-06-06,HH,3.87,0.45
29,30,2020-06-07,HH,4.0,0.45
30,31,2020-06-09,HH,4.13,0.44
31,32,2020-06-10,HH,4.27,0.44
32,33,2020-06-11,HH,4.41,0.44
33,34,2020-06-12,HH,4.56,0.44
34,35,2020-06-13,HH,4.72,0.44
35,36,2020-06-14,HH,4.89,0.44
36,37,2020-06-16,HH,5.05,0.45
37,38,2020-06-17,HH,5.22,0.45
38,39,2020-06-18,HH,5.38,0.45
39,40,2020-06-19,HH,5.54,0.44
40,41,2020-06-20,HH,5.7,0.44
41,42,2020-06-21,HH,5.87,0.43
42,43,2020-06-23,HH,6.02,0.43
43,44,2020-06-24,HH,6.17,0.43
44,45,2020-06-25,HH,6.31,0.42
45,46,2020-06-26,HH,6.43,0.42
46,47,2020-06-27,HH,6.53,0.42
47,48,2020-06-28,HH,6.62,0.42
48,49,2020-07-01,HH,6.69,0.42
49,50,2020-07-02,HH,6.74,0.42
50,51,2020-07-03,HH,6.77,0.42
51,52,2020-07-04,HH,6.78,0.42
52,53,2020-07-05,HH,6.76,0.42
53,54,2020-07-07,HH,6.74,0.42
54,55,2020-07-08,HH,6.69,0.41
55,56,2020-07-09,HH,6.63,0.41
56,57,2020-07-10,HH,6.55,0.41
57,58,2020-07-11,HH,6.46,0.41
58,59,2020-07-13,HH,6.35,0.4
59,60,2020-07-14,HH,6.24,0.4
60,61,2020-07-15,HH,6.12,0.4
61,62,2020-07-16,HH,5.99,0.39
62,63,2020-07-17,HH,5.85,0.39
63,64,2020-07-18,HH,5.72,0.39
64,65,2020-07-19,HH,5.59,0.38
