,Unnamed: 0,GDAY_DS,T_ID,ER,WLS
0,1,2020-05-05,KT,7.0,0.0
1,2,2020-05-06,KT,8.0,0.0
2,3,2020-05-07,KT,7.33,0.0
3,4,2020-05-08,KT,6.25,0.25
4,5,2020-05-10,KT,7.4,0.2
5,6,2020-05-12,KT,7.33,0.17
6,7,2020-05-13,KT,6.86,0.14
7,8,2020-05-14,KT,6.12,0.12
8,9,2020-05-15,KT,5.78,0.22
9,10,2020-05-16,KT,5.5,0.3
10,11,2020-05-17,KT,5.09,0.36
11,12,2020-05-19,KT,5.58,0.42
12,13,2020-05-20,KT,5.23,0.46
13,14,2020-05-21,KT,5.5,0.43
14,15,2020-05-22,KT,5.47,0.4
15,16,2020-05-23,KT,5.25,0.44
16,17,2020-05-24,KT,5.47,0.41
17,18,2020-05-26,KT,5.39,0.39
18,19,2020-05-27,KT,5.0,0.0
19,20,2020-05-28,KT,4.78,0.0
20,21,2020-05-29,KT,4.67,0.25
21,22,2020-05-30,KT,5.28,0.2
22,23,2020-05-31,KT,5.0,0.17
23,24,2020-06-02,KT,5.22,0.14
24,25,2020-06-03,KT,5.11,0.12
25,26,2020-06-04,KT,5.83,0.22
26,27,2020-06-05,KT,6.0,0.3
27,28,2020-06-06,KT,5.89,0.36
28,29,2020-06-07,KT,6.11,0.42
29,30,2020-06-09,KT,5.67,0.46
30,31,2020-06-10,KT,6.06,0.43
31,32,2020-06-11,KT,6.0,0.4
32,33,2020-06-13,KT,6.0,0.44
33,34,2020-06-13,KT,6.11,0.41
34,35,2020-06-14,KT,6.28,0.39
35,36,2020-06-16,KT,6.33,0.42
36,37,2020-06-17,KT,6.56,0.45
37,38,2020-06-18,KT,6.44,0.43
38,39,2020-06-19,KT,6.67,0.41
39,40,2020-06-20,KT,6.33,0.43
40,41,2020-06-21,KT,6.06,0.42
41,42,2020-06-23,KT,5.67,0.44
42,43,2020-06-25,KT,5.72,0.42
43,44,2020-06-25,KT,5.06,0.41
44,45,2020-06-26,KT,5.06,0.39
45,46,2020-06-27,KT,5.11,0.38
46,47,2020-06-28,KT,5.06,0.37
47,48,2020-06-30,KT,5.11,0.35
48,49,2020-07-01,KT,4.94,0.38
49,50,2020-07-02,KT,4.67,0.36
50,51,2020-07-03,KT,4.5,0.38
51,52,2020-07-04,KT,4.83,0.37
52,53,2020-07-05,KT,4.44,0.39
53,54,2020-07-07,KT,4.28,0.41
54,55,2020-07-08,KT,4.28,0.42
55,56,2020-07-09,KT,4.67,0.44
56,57,2020-07-10,KT,4.39,0.42
57,58,2020-07-11,KT,4.28,0.44
58,59,2020-07-14,KT,4.28,0.43
59,60,2020-07-15,KT,4.44,0.42
60,61,2020-07-16,KT,4.33,0.43
61,62,2020-07-17,KT,4.39,0.42
62,63,2020-07-18,KT,4.39,0.43
63,64,2020-07-19,KT,4.72,0.45
