,Unnamed: 0,GDAY_DS,T_ID,ER,WLS
0,1,2020-05-05,LG,2.0,1.0
1,2,2020-05-06,LG,3.5,0.5
2,3,2020-05-07,LG,4.33,0.33
3,4,2020-05-08,LG,6.5,0.25
4,5,2020-05-10,LG,6.6,0.4
5,6,2020-05-12,LG,6.33,0.5
6,7,2020-05-13,LG,5.71,0.57
7,8,2020-05-14,LG,5.25,0.62
8,9,2020-05-16,LG,4.78,0.67
9,10,2020-05-16,LG,4.6,0.7
10,11,2020-05-17,LG,5.0,0.64
11,12,2020-05-19,LG,5.08,0.67
12,13,2020-05-20,LG,4.85,0.62
13,14,2020-05-21,LG,4.5,0.64
14,15,2020-05-22,LG,4.53,0.67
15,16,2020-05-23,LG,4.62,0.62
16,17,2020-05-24,LG,4.59,0.65
17,18,2020-05-26,LG,4.33,0.67
18,19,2020-05-27,LG,4.44,0.5
19,20,2020-05-28,LG,4.17,0.33
20,21,2020-05-29,LG,3.94,0.25
21,22,2020-05-30,LG,3.5,0.4
22,23,2020-05-31,LG,3.39,0.5
23,24,2020-06-02,LG,3.22,0.57
24,25,2020-06-03,LG,3.72,0.62
25,26,2020-06-04,LG,3.61,0.67
26,27,2020-06-05,LG,3.89,0.7
27,28,2020-06-06,LG,4.0,0.64
28,29,2020-06-07,LG,3.56,0.67
29,30,2020-06-09,LG,3.5,0.62
30,31,2020-06-11,LG,3.44,0.64
31,32,2020-06-11,LG,3.61,0.67
32,33,2020-06-12,LG,3.44,0.62
33,34,2020-06-13,LG,3.44,0.65
34,35,2020-06-14,LG,3.56,0.67
35,36,2020-06-16,LG,3.83,0.68
36,37,2020-06-17,LG,3.67,0.7
37,38,2020-06-18,LG,4.0,0.71
38,39,2020-06-19,LG,4.89,0.68
39,40,2020-06-20,LG,5.06,0.7
40,41,2020-06-21,LG,4.94,0.67
41,42,2020-06-23,LG,5.22,0.64
42,43,2020-06-25,LG,4.89,0.65
43,44,2020-06-25,LG,5.33,0.63
44,45,2020-06-26,LG,5.33,0.61
45,46,2020-06-27,LG,5.06,0.62
46,47,2020-06-28,LG,5.0,0.6
47,48,2020-06-30,LG,4.89,0.61
48,49,2020-07-01,LG,5.39,0.62
49,50,2020-07-02,LG,5.44,0.64
50,51,2020-07-03,LG,5.56,0.62
51,52,2020-07-04,LG,5.61,0.63
52,53,2020-07-05,LG,5.44,0.64
53,54,2020-07-07,LG,5.61,0.65
54,55,2020-07-08,LG,5.83,0.66
55,56,2020-07-09,LG,5.83,0.64
56,57,2020-07-10,LG,5.5,0.62
57,58,2020-07-11,LG,5.33,0.61
58,59,2020-07-14,LG,5.39,0.6
59,60,2020-07-15,LG,5.17,0.58
60,61,2020-07-16,LG,5.33,0.57
61,62,2020-07-17,LG,4.89,0.56
62,63,2020-07-18,LG,4.61,0.57
63,64,2020-07-19,LG,4.72,0.57
