,Unnamed: 0,GDAY_DS,T_ID,ER,WLS
0,1,2020-05-05,LT,2.0,1.0
1,2,2020-05-06,LT,2.5,1.0
2,3,2020-05-07,LT,2.67,1.0
3,4,2020-05-08,LT,4.0,1.0
4,5,2020-05-10,LT,3.2,1.0
5,6,2020-05-12,LT,4.5,0.83
6,7,2020-05-13,LT,5.14,0.86
7,8,2020-05-14,LT,5.12,0.75
8,9,2020-05-15,LT,4.78,0.67
9,10,2020-05-16,LT,4.4,0.7
10,11,2020-05-17,LT,4.18,0.64
11,12,2020-05-19,LT,4.58,0.58
12,13,2020-05-20,LT,4.69,0.54
13,14,2020-05-21,LT,4.79,0.5
14,15,2020-05-22,LT,4.93,0.53
15,16,2020-05-23,LT,5.38,0.5
16,17,2020-05-24,LT,5.06,0.53
17,18,2020-05-26,LT,4.78,0.56
18,19,2020-05-27,LT,5.28,1.0
19,20,2020-05-28,LT,5.28,1.0
20,21,2020-05-29,LT,5.33,1.0
21,22,2020-05-30,LT,5.11,1.0
22,23,2020-05-31,LT,5.28,0.83
23,24,2020-06-02,LT,5.06,0.86
24,25,2020-06-03,LT,5.17,0.75
25,26,2020-06-04,LT,5.28,0.67
26,27,2020-06-05,LT,5.39,0.7
27,28,2020-06-06,LT,5.33,0.64
28,29,2020-06-07,LT,5.33,0.58
29,30,2020-06-09,LT,5.0,0.54
30,31,2020-06-10,LT,4.72,0.5
31,32,2020-06-11,LT,4.39,0.53
32,33,2020-06-12,LT,4.11,0.5
33,34,2020-06-13,LT,3.78,0.53
34,35,2020-06-14,LT,4.33,0.56
35,36,2020-06-16,LT,4.56,0.53
36,37,2020-06-17,LT,4.17,0.5
37,38,2020-06-18,LT,4.17,0.48
38,39,2020-06-19,LT,4.44,0.45
39,40,2020-06-20,LT,4.22,0.48
40,41,2020-06-21,LT,4.22,0.46
41,42,2020-06-23,LT,4.0,0.44
42,43,2020-06-26,LT,3.72,0.42
43,44,2020-06-27,LT,3.67,0.44
44,45,2020-06-28,LT,3.61,0.46
45,46,2020-06-30,LT,4.06,0.48
46,47,2020-07-01,LT,4.22,0.5
47,48,2020-07-02,LT,4.39,0.52
48,49,2020-07-03,LT,4.61,0.53
49,50,2020-07-04,LT,4.83,0.52
50,51,2020-07-05,LT,5.06,0.53
51,52,2020-07-07,LT,5.0,0.51
52,53,2020-07-08,LT,4.56,0.53
53,54,2020-07-09,LT,4.39,0.51
54,55,2020-07-10,LT,4.56,0.5
55,56,2020-07-11,LT,4.39,0.49
56,57,2020-07-14,LT,3.89,0.5
57,58,2020-07-15,LT,4.39,0.49
58,59,2020-07-16,LT,4.78,0.5
59,60,2020-07-17,LT,5.44,0.49
60,61,2020-07-18,LT,5.39,0.48
61,62,2020-07-19,LT,5.11,0.49
