,Unnamed: 0,GDAY_DS,T_ID,ER,WLS
0,1,2020-05-05,NC,0.0,1.0
1,2,2020-05-06,NC,1.5,1.0
2,3,2020-05-07,NC,1.67,1.0
3,4,2020-05-08,NC,2.5,1.0
4,5,2020-05-10,NC,4.0,0.8
5,6,2020-05-12,NC,4.33,0.83
6,7,2020-05-13,NC,4.14,0.86
7,8,2020-05-14,NC,3.62,0.88
8,9,2020-05-15,NC,3.44,0.89
9,10,2020-05-16,NC,3.2,0.9
10,11,2020-05-17,NC,3.36,0.91
11,12,2020-05-19,NC,3.42,0.92
12,13,2020-05-20,NC,3.31,0.85
13,14,2020-05-21,NC,3.5,0.86
14,15,2020-05-22,NC,3.47,0.8
15,16,2020-05-23,NC,3.25,0.81
16,17,2020-05-24,NC,3.35,0.82
17,18,2020-05-26,NC,3.28,0.83
18,19,2020-05-27,NC,3.44,1.0
19,20,2020-05-28,NC,3.61,1.0
20,21,2020-05-29,NC,3.72,1.0
21,22,2020-05-30,NC,3.94,0.8
22,23,2020-05-31,NC,3.72,0.83
23,24,2020-06-02,NC,3.78,0.86
24,25,2020-06-03,NC,3.89,0.88
25,26,2020-06-04,NC,3.89,0.89
26,27,2020-06-05,NC,3.89,0.9
27,28,2020-06-06,NC,3.94,0.91
28,29,2020-06-07,NC,3.78,0.92
29,30,2020-06-09,NC,4.0,0.85
30,31,2020-06-10,NC,4.39,0.86
31,32,2020-06-11,NC,4.33,0.8
32,33,2020-06-12,NC,4.28,0.81
33,34,2020-06-13,NC,5.22,0.82
34,35,2020-06-14,NC,5.22,0.83
35,36,2020-06-16,NC,5.5,0.84
36,37,2020-06-17,NC,5.72,0.85
37,38,2020-06-19,NC,5.44,0.81
38,39,2020-06-20,NC,5.44,0.77
39,40,2020-06-21,NC,5.33,0.78
40,41,2020-06-23,NC,5.17,0.75
41,42,2020-06-25,NC,4.83,0.76
42,43,2020-06-25,NC,5.44,0.77
43,44,2020-06-26,NC,5.61,0.78
44,45,2020-06-27,NC,6.17,0.79
45,46,2020-06-28,NC,6.06,0.79
46,47,2020-06-30,NC,6.44,0.8
47,48,2020-07-01,NC,6.11,0.77
48,49,2020-07-02,NC,6.0,0.78
49,50,2020-07-03,NC,6.17,0.76
50,51,2020-07-04,NC,6.17,0.74
51,52,2020-07-05,NC,5.56,0.74
52,53,2020-07-07,NC,5.5,0.72
53,54,2020-07-08,NC,5.28,0.7
54,55,2020-07-09,NC,5.0,0.71
55,56,2020-07-10,NC,5.06,0.69
56,57,2020-07-11,NC,5.17,0.7
57,58,2020-07-14,NC,5.06,0.71
58,59,2020-07-15,NC,5.28,0.71
59,60,2020-07-16,NC,5.28,0.7
60,61,2020-07-17,NC,4.56,0.7
61,62,2020-07-18,NC,4.44,0.69
62,63,2020-07-19,NC,3.89,0.7
