,Unnamed: 0,GDAY_DS,T_ID,ER,WLS
0,1,2020-05-05,OB,8.0,0.0
1,2,2020-05-06,OB,4.5,0.5
2,3,2020-05-07,OB,4.0,0.67
3,4,2020-05-08,OB,6.0,0.5
4,5,2020-05-10,OB,7.2,0.6
5,6,2020-05-12,OB,7.0,0.67
6,7,2020-05-13,OB,7.0,0.57
7,8,2020-05-14,OB,6.62,0.62
8,9,2020-05-15,OB,5.89,0.67
9,10,2020-05-16,OB,6.6,0.6
10,11,2020-05-17,OB,6.18,0.64
11,12,2020-05-19,OB,6.08,0.58
12,13,2020-05-20,OB,5.69,0.62
13,14,2020-05-21,OB,6.14,0.57
14,15,2020-05-22,OB,6.2,0.6
15,16,2020-05-23,OB,6.12,0.62
16,17,2020-05-24,OB,6.53,0.59
17,18,2020-05-26,OB,6.39,0.61
18,19,2020-05-27,OB,6.06,0.5
19,20,2020-05-28,OB,6.33,0.67
20,21,2020-05-29,OB,6.28,0.5
21,22,2020-05-30,OB,5.83,0.6
22,23,2020-05-31,OB,5.28,0.67
23,24,2020-06-02,OB,5.33,0.57
24,25,2020-06-03,OB,5.17,0.62
25,26,2020-06-04,OB,5.39,0.67
26,27,2020-06-05,OB,5.39,0.6
27,28,2020-06-06,OB,4.83,0.64
28,29,2020-06-07,OB,4.83,0.58
29,30,2020-06-09,OB,5.22,0.62
30,31,2020-06-10,OB,5.22,0.57
31,32,2020-06-11,OB,4.94,0.6
32,33,2020-06-12,OB,4.61,0.62
33,34,2020-06-13,OB,4.72,0.59
34,35,2020-06-14,OB,4.17,0.61
35,36,2020-06-16,OB,4.11,0.63
36,37,2020-06-17,OB,4.33,0.6
37,38,2020-06-18,OB,4.06,0.62
38,39,2020-06-19,OB,4.44,0.64
39,40,2020-06-20,OB,4.33,0.61
40,41,2020-06-21,OB,4.28,0.62
41,42,2020-06-23,OB,4.0,0.6
42,43,2020-06-25,OB,4.11,0.62
43,44,2020-06-25,OB,4.0,0.63
44,45,2020-06-26,OB,4.44,0.64
45,46,2020-06-27,OB,4.44,0.66
46,47,2020-06-28,OB,4.61,0.63
47,48,2020-06-30,OB,4.5,0.65
48,49,2020-07-01,OB,4.61,0.62
49,50,2020-07-02,OB,4.78,0.64
50,51,2020-07-03,OB,4.78,0.62
51,52,2020-07-04,OB,4.72,0.6
52,53,2020-07-05,OB,4.78,0.58
53,54,2020-07-07,OB,4.94,0.57
54,55,2020-07-08,OB,5.06,0.58
55,56,2020-07-09,OB,5.0,0.59
56,57,2020-07-10,OB,4.78,0.6
57,58,2020-07-11,OB,4.89,0.61
58,59,2020-07-14,OB,5.44,0.62
59,60,2020-07-15,OB,5.44,0.63
60,61,2020-07-16,OB,5.17,0.61
61,62,2020-07-17,OB,5.0,0.6
62,63,2020-07-18,OB,4.56,0.61
63,64,2020-07-19,OB,4.61,0.6
