,Unnamed: 0,GDAY_DS,T_ID,ER,WLS
0,1,2020-05-05,SK,3.0,0.0
1,2,2020-05-06,SK,2.5,0.5
2,3,2020-05-07,SK,4.33,0.33
3,4,2020-05-08,SK,5.5,0.25
4,5,2020-05-10,SK,5.2,0.2
5,6,2020-05-12,SK,5.33,0.17
6,7,2020-05-13,SK,5.57,0.14
7,8,2020-05-14,SK,5.25,0.12
8,9,2020-05-15,SK,5.33,0.11
9,10,2020-05-16,SK,5.0,0.1
10,11,2020-05-17,SK,5.55,0.09
11,12,2020-05-19,SK,5.92,0.08
12,13,2020-05-20,SK,5.69,0.15
13,14,2020-05-21,SK,5.79,0.14
14,15,2020-05-22,SK,5.53,0.13
15,16,2020-05-23,SK,5.69,0.12
16,17,2020-05-24,SK,5.41,0.18
17,18,2020-05-26,SK,5.17,0.17
18,19,2020-05-27,SK,5.22,0.5
19,20,2020-05-28,SK,5.17,0.33
20,21,2020-05-29,SK,5.06,0.25
21,22,2020-05-30,SK,4.72,0.2
22,23,2020-05-31,SK,4.67,0.17
23,24,2020-06-02,SK,4.39,0.14
24,25,2020-06-03,SK,4.44,0.12
25,26,2020-06-04,SK,4.83,0.11
26,27,2020-06-05,SK,4.56,0.1
27,28,2020-06-06,SK,4.67,0.09
28,29,2020-06-07,SK,4.22,0.08
29,30,2020-06-09,SK,3.78,0.15
30,31,2020-06-11,SK,3.78,0.14
31,32,2020-06-11,SK,3.61,0.13
32,33,2020-06-12,SK,3.83,0.12
33,34,2020-06-13,SK,3.5,0.18
34,35,2020-06-14,SK,3.61,0.17
35,36,2020-06-16,SK,3.83,0.16
36,37,2020-06-17,SK,3.89,0.2
37,38,2020-06-18,SK,4.11,0.24
38,39,2020-06-19,SK,3.89,0.27
39,40,2020-06-20,SK,4.22,0.3
40,41,2020-06-21,SK,4.44,0.33
41,42,2020-06-23,SK,4.83,0.32
42,43,2020-06-25,SK,5.17,0.31
43,44,2020-06-25,SK,4.61,0.33
44,45,2020-06-26,SK,4.56,0.36
45,46,2020-06-27,SK,4.44,0.34
46,47,2020-06-28,SK,4.44,0.37
47,48,2020-06-30,SK,4.56,0.35
48,49,2020-07-01,SK,4.67,0.34
49,50,2020-07-02,SK,4.78,0.33
50,51,2020-07-03,SK,4.67,0.32
51,52,2020-07-04,SK,5.06,0.34
52,53,2020-07-05,SK,5.06,0.33
53,54,2020-07-07,SK,5.06,0.32
54,55,2020-07-08,SK,4.89,0.32
55,56,2020-07-09,SK,5.06,0.31
56,57,2020-07-10,SK,5.11,0.3
57,58,2020-07-11,SK,4.78,0.29
58,59,2020-07-13,SK,4.61,0.29
59,60,2020-07-14,SK,4.56,0.28
60,61,2020-07-15,SK,4.17,0.3
61,62,2020-07-16,SK,4.39,0.31
62,63,2020-07-17,SK,4.89,0.3
63,64,2020-07-18,SK,5.0,0.3
64,65,2020-07-19,SK,5.0,0.29
