,Unnamed: 0,GDAY_DS,T_ID,ER,WLS
0,1,2020-05-05,SS,4.0,0.0
1,2,2020-05-06,SS,4.0,0.0
2,3,2020-05-07,SS,5.0,0.0
3,4,2020-05-08,SS,3.75,0.25
4,5,2020-05-09,SS,3.4,0.4
5,6,2020-05-10,SS,4.17,0.33
6,7,2020-05-12,SS,3.86,0.29
7,8,2020-05-13,SS,3.38,0.38
8,9,2020-05-14,SS,3.56,0.44
9,10,2020-05-15,SS,4.2,0.4
10,11,2020-05-16,SS,4.64,0.36
11,12,2020-05-17,SS,4.83,0.33
12,13,2020-05-19,SS,5.23,0.31
13,14,2020-05-20,SS,4.93,0.36
14,15,2020-05-21,SS,4.73,0.33
15,16,2020-05-22,SS,5.12,0.31
16,17,2020-05-23,SS,5.41,0.29
17,18,2020-05-24,SS,5.11,0.33
18,19,2020-05-26,SS,4.94,0.0
19,20,2020-05-27,SS,4.72,0.0
20,21,2020-05-28,SS,4.39,0.25
21,22,2020-05-29,SS,4.61,0.4
22,23,2020-05-30,SS,4.56,0.33
23,24,2020-05-31,SS,4.72,0.29
24,25,2020-06-02,SS,4.61,0.38
25,26,2020-06-03,SS,4.94,0.44
26,27,2020-06-04,SS,5.11,0.4
27,28,2020-06-05,SS,4.78,0.36
28,29,2020-06-06,SS,4.61,0.33
29,30,2020-06-07,SS,4.22,0.31
30,31,2020-06-09,SS,3.94,0.36
31,32,2020-06-10,SS,3.94,0.33
32,33,2020-06-11,SS,4.0,0.31
33,34,2020-06-13,SS,3.56,0.29
34,35,2020-06-13,SS,3.39,0.33
35,36,2020-06-14,SS,3.39,0.32
36,37,2020-06-16,SS,3.44,0.35
37,38,2020-06-17,SS,3.61,0.38
38,39,2020-06-18,SS,3.94,0.41
39,40,2020-06-19,SS,3.89,0.43
40,41,2020-06-20,SS,4.17,0.42
41,42,2020-06-21,SS,3.78,0.44
42,43,2020-06-23,SS,4.0,0.46
43,44,2020-06-24,SS,3.78,0.44
44,45,2020-06-25,SS,3.83,0.43
45,46,2020-06-26,SS,3.83,0.41
46,47,2020-06-27,SS,3.56,0.43
47,48,2020-06-28,SS,3.94,0.42
48,49,2020-06-30,SS,3.72,0.44
49,50,2020-07-01,SS,3.72,0.45
50,51,2020-07-02,SS,3.67,0.47
51,52,2020-07-03,SS,3.89,0.46
52,53,2020-07-04,SS,3.83,0.47
53,54,2020-07-05,SS,4.22,0.49
54,55,2020-07-07,SS,4.22,0.5
55,56,2020-07-08,SS,4.44,0.49
56,57,2020-07-09,SS,4.28,0.48
57,58,2020-07-10,SS,4.5,0.46
58,59,2020-07-11,SS,4.72,0.48
59,60,2020-07-14,SS,4.5,0.49
60,61,2020-07-15,SS,4.5,0.5
61,62,2020-07-16,SS,4.78,0.49
62,63,2020-07-17,SS,4.67,0.5
63,64,2020-07-18,SS,4.56,0.51
64,65,2020-07-19,SS,4.61,0.5
