,Unnamed: 0,GDAY_DS,T_ID,ER,WLS
0,1,2020-05-05,WO,0.0,1.0
1,2,2020-05-06,WO,1.0,1.0
2,3,2020-05-07,WO,3.33,0.67
3,4,2020-05-08,WO,3.25,0.75
4,5,2020-05-09,WO,3.2,0.8
5,6,2020-05-10,WO,3.17,0.83
6,7,2020-05-12,WO,2.71,0.86
7,8,2020-05-13,WO,2.75,0.75
8,9,2020-05-14,WO,3.33,0.67
9,10,2020-05-16,WO,3.3,0.6
10,11,2020-05-16,WO,3.45,0.55
11,12,2020-05-17,WO,3.5,0.58
12,13,2020-05-19,WO,3.62,0.62
13,14,2020-05-20,WO,3.64,0.57
14,15,2020-05-21,WO,3.93,0.6
15,16,2020-05-22,WO,4.19,0.56
16,17,2020-05-23,WO,4.12,0.59
17,18,2020-05-24,WO,4.0,0.56
18,19,2020-05-26,WO,4.39,1.0
19,20,2020-05-27,WO,4.78,0.67
20,21,2020-05-28,WO,4.83,0.75
21,22,2020-05-29,WO,4.67,0.8
22,23,2020-05-30,WO,4.67,0.83
23,24,2020-05-31,WO,5.17,0.86
24,25,2020-06-02,WO,5.28,0.75
25,26,2020-06-03,WO,5.22,0.67
26,27,2020-06-04,WO,4.94,0.6
27,28,2020-06-05,WO,4.94,0.55
28,29,2020-06-06,WO,4.89,0.58
29,30,2020-06-07,WO,5.0,0.62
30,31,2020-06-09,WO,4.89,0.57
31,32,2020-06-10,WO,4.78,0.6
32,33,2020-06-11,WO,4.67,0.56
33,34,2020-06-12,WO,4.33,0.59
34,35,2020-06-13,WO,4.44,0.56
35,36,2020-06-14,WO,4.83,0.53
36,37,2020-06-16,WO,4.72,0.5
37,38,2020-06-17,WO,4.39,0.48
38,39,2020-06-18,WO,3.94,0.5
39,40,2020-06-19,WO,4.0,0.52
40,41,2020-06-20,WO,3.94,0.5
41,42,2020-06-21,WO,3.39,0.52
42,43,2020-06-23,WO,3.44,0.54
43,44,2020-06-25,WO,3.44,0.56
44,45,2020-06-25,WO,3.56,0.57
45,46,2020-06-26,WO,3.83,0.59
46,47,2020-06-27,WO,3.61,0.57
47,48,2020-06-28,WO,3.28,0.58
48,49,2020-06-30,WO,3.22,0.56
49,50,2020-07-01,WO,3.89,0.55
50,51,2020-07-02,WO,3.89,0.56
51,52,2020-07-03,WO,3.83,0.57
52,53,2020-07-04,WO,3.89,0.56
53,54,2020-07-05,WO,3.94,0.54
54,55,2020-07-07,WO,4.22,0.55
55,56,2020-07-08,WO,4.39,0.56
56,57,2020-07-09,WO,4.44,0.58
57,58,2020-07-10,WO,4.89,0.59
58,59,2020-07-11,WO,5.22,0.6
59,60,2020-07-13,WO,5.83,0.6
60,61,2020-07-14,WO,5.72,0.61
61,62,2020-07-15,WO,5.83,0.62
62,63,2020-07-16,WO,6.06,0.61
63,64,2020-07-17,WO,6.22,0.62
64,65,2020-07-18,WO,6.28,0.62
65,66,2020-07-19,WO,6.5,0.63
