"","GDAY_DS","BA"
"1",2020-05-05,NA
"2",2020-05-06,NA
"3",2020-05-07,NA
"4",2020-05-08,NA
"5",2020-05-09,NA
"6",2020-05-10,NA
"7",2020-05-12,NA
"8",2020-05-13,NA
"9",2020-05-14,NA
"10",2020-05-15,NA
"11",2020-05-16,NA
"12",2020-05-17,NA
"13",2020-05-19,NA
"14",2020-05-20,NA
"15",2020-05-21,NA
"16",2020-05-22,NA
"17",2020-05-23,NA
"18",2020-05-24,NA
"19",2020-05-26,NA
"20",2020-05-27,NA
"21",2020-05-28,NA
"22",2020-05-29,NA
"23",2020-05-30,NA
"24",2020-05-31,NA
"25",2020-06-02,NA
"26",2020-06-03,NA
"27",2020-06-04,NA
"28",2020-06-05,NA
"29",2020-06-06,NA
"30",2020-06-07,NA
"31",2020-06-09,NA
"32",2020-06-10,NA
"33",2020-06-11,NA
"34",2020-06-12,NA
"35",2020-06-13,0.21
"36",2020-06-14,0.21
"37",2020-06-16,0.21
"38",2020-06-17,0.211
"39",2020-06-18,0.211
"40",2020-06-19,0.211
"41",2020-06-20,0.212
"42",2020-06-21,0.213
"43",2020-06-23,0.215
"44",2020-06-24,0.217
"45",2020-06-25,0.219
"46",2020-06-26,0.224
"47",2020-06-27,0.228
"48",2020-06-28,0.232
"49",2020-07-01,0.236
"50",2020-07-02,0.241
"51",2020-07-03,0.245
"52",2020-07-04,0.248
"53",2020-07-05,0.251
"54",2020-07-07,0.254
"55",2020-07-08,0.256
"56",2020-07-09,0.257
"57",2020-07-10,0.256
"58",2020-07-11,0.256
"59",2020-07-13,0.255
"60",2020-07-14,0.254
"61",2020-07-15,0.254
"62",2020-07-16,0.252
"63",2020-07-17,0.249
"64",2020-07-18,0.246
"65",2020-07-19,0.243
"66",2020-07-21,0.239
"67",2020-07-22,0.234
"68",2020-07-24,0.23
"69",2020-07-26,0.226
"70",2020-07-27,0.222
"71",2020-07-29,0.221
"72",2020-07-30,0.219
"73",2020-07-31,0.218
"74",2020-08-01,0.217
"75",2020-08-05,0.218
"76",2020-08-06,0.218
"77",2020-08-09,0.219
"78",2020-08-11,0.22
"79",2020-08-12,0.22
"80",2020-08-13,0.221
"81",2020-08-14,0.221
"82",2020-08-15,0.221
"83",2020-08-16,0.219
"84",2020-08-18,0.218
"85",2020-08-19,0.217
"86",2020-08-20,0.215
"87",2020-08-21,0.214
"88",2020-08-23,0.213
"89",2020-08-23,0.213
"90",2020-08-25,0.215
"91",2020-08-26,0.216
"92",2020-08-27,0.218
"93",2020-08-29,0.22
"94",2020-08-30,0.222
"95",2020-09-01,0.223
"96",2020-09-03,0.225
"97",2020-09-04,0.227
"98",2020-09-05,0.23
"99",2020-09-06,0.233
"100",2020-09-08,0.236
"101",2020-09-09,0.24
"102",2020-09-09,0.243
"103",2020-09-10,0.246
"104",2020-09-11,0.247
"105",2020-09-12,0.248
"106",2020-09-13,0.247
"107",2020-09-15,0.247
"108",2020-09-16,0.247
"109",2020-09-17,0.245
"110",2020-09-18,0.243
"111",2020-09-19,0.24
"112",2020-09-20,0.24
